authors,created,days_abandoned,days_alive,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
"Andrew Cherry (@kolektiv),Ryan Riley (@panesofglass),Max Malook (@mexx)",2016-01-27T01:32:24.387Z,784,814,Arachne - Types for HTTP and related RFCs.,Arachne.Uri.Template,True,2016-02-26T11:34:08.78-08:00,True,False,,"parser
web
http",19107,False,3.0.0-b100
Dusan Janosik,2016-01-26T22:11:37.883Z,272,815,"Reusable LINQ queries, extensions for System.Linq.",Moon.Queryable,False,2017-07-22T14:36:39.3+00:00,True,False,,"moontea,linq,collections,queryable",3923,False,2.0.1
LeadTools,2015-09-30T14:57:43.307Z,43209,933,LeadTools Redist,LeadTools.Redist.19,False,1899-12-31T16:00:00-08:00,False,False,LeadTools.Redist.19,"Package,NuGet,Packer",-1,False,19.0.1
Brian Swart,2016-01-26T20:24:30.907Z,43209,815,HEC Code Analysis Rules,HECCA,False,1899-12-31T16:00:00-08:00,False,False,,,-1,False,1.0.1
Xtensive LLC,2016-01-27T04:04:52.993Z,1176,814,DataObjects.Net is the object-relational mapper (ORM) and business logic layer (BLL) framework,Xtensive.Orm,False,2015-01-30T11:05:08.173+00:00,True,False,,"DataObjects.Net,ORM,BLL,Persistence",21425,False,5.0.7
Meridix Systems AB,2016-01-26T13:28:09.717Z,43209,815,Managed API client for Meridix Studio HTTP API,MeridixStudioWebAPI,False,1900-01-01T00:00:00+00:00,False,False,,Meridix,12181,False,0.3.43
Andreas Ravnestad,2016-01-26T19:40:14.013Z,9,815,Advanced National Networks for Administrations,AnNa.SpreadsheetParser.SpreadsheetGear,False,2018-04-11T12:37:04.14+00:00,True,False,,,8308,False,1.1.5869.37194
Johan Larsson,2016-01-26T17:25:13.193Z,156,815,JsonConverters for Gu.Units,Gu.Units.Json,False,2017-11-15T15:28:39.313+00:00,True,False,,"unit,units,quantity,quantities,unitsofmeasure",2922,False,0.7.4
Stan Naspinski,2016-01-26T18:31:01.527Z,815,815,"Utilities class for .Net including Dynamic property getters/setters, automatic IQueryable searching, LinqToSql shortcuts, FileStream shortcuts, String extensions and more.",Naspinski.Utilities,False,2016-01-26T10:31:01.527-08:00,True,False,Utilites class for .Net,"linq,c#,.net",4116,False,1.1.0
ApocalypticOctopus,2016-01-26T22:32:17.57Z,597,815,A way to fluently sync relationships between C# objects,Reactive.Relationships,True,2016-08-31T08:27:01.18-07:00,True,False,,,2359,False,0.0.11-alpha
