authors,created,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
"XAct Software Solutions,Inc.",2015-02-09T21:03:09.263Z,An XActLib Assembly: EntityFramework based persistence of security properties.,XAct.Security.Persistence.EF,False,2017-02-09T01:57:51.743+00:00,True,False,,"XAct,XActLib",40226,False,0.0.4908
Microsoft,2015-02-09T20:06:02.257Z,"This package contains the runtime assemblies for ASP.NET MVC. ASP.NET MVC gives you a powerful, patterns-based way to build dynamic websites that enables a clean separation of concerns and that gives you full control over markup.",Microsoft.AspNet.Mvc,False,1900-01-01T00:00:00+00:00,False,False,This package contains the runtime assemblies for ASP.NET MVC.,"Microsoft,AspNet,Mvc,AspNetMvc",39031837,True,5.2.3
Microsoft,2015-02-09T20:52:35.37Z,Bu paket ASP.NET Web API CORS için Türkçe uydu derlemelerini içerir.,Microsoft.AspNet.WebApi.Cors.tr,False,2018-03-19T18:52:51.597+00:00,True,False,Microsoft.AspNet.WebApi.Cors paketi için Türkçe kaynaklar,"Microsoft,AspNet,WebApi,AspNetWebApi,Cors,Cross,Origin",3123,True,5.2.3
Bruno,2015-02-09T22:14:37.437Z,File Browser suitable for use with CKEditor end Tiny MCE,MB.FileBrowser,False,2016-06-29T09:33:51.217-07:00,True,False,,"ckeditor,tinumce,filebrowser",5512,False,1.0.8
Microsoft,2015-02-09T20:08:24.933Z,Este paquete contiene los ensamblados satélites en español para ASP.NET MVC.,Microsoft.AspNet.Mvc.es,False,2018-03-19T18:38:47.493+00:00,True,False,Recursos en español para el paquete Microsoft.AspNet.Mvc,"Microsoft,AspNet,Mvc,AspNetMvc",182217,True,5.2.3
dima117,2015-02-09T19:45:06.057Z,Generate events on timer,ThinkingHome.Plugins.Timer,False,2017-11-07T19:24:55.533+00:00,True,False,Generate events on timer,,1326,False,2.0.0.79
Microsoft,2015-02-09T21:07:57.137Z,このパッケージには、ASP.NET Web API Self Host の 日本語 サテライト アセンブリが含まれています。,Microsoft.AspNet.WebApi.SelfHost.ja,False,2018-03-19T18:58:30.743+00:00,True,False,Microsoft.AspNet.WebApi.SelfHost パッケージの 日本語 リソース,"Microsoft,AspNet,WebApi,AspNetWebApi,SelfHost",5121,True,5.2.3
"XAct Software Solutions,Inc.",2015-02-09T20:48:23.307Z,"An XActLib Assembly: an implementation of the services defined in XAct.ObjectMapping, using AutoMapper.",XAct.ObjectMapping.AutoMapper,False,2017-02-09T01:57:41.667+00:00,True,False,,"XAct,XActLib",57394,False,0.0.4908
Microsoft,2015-02-09T22:30:03.993Z,此程序包包含适用于 ASP.NET Web API Tracing 的简体中文附属程序集。,Microsoft.AspNet.WebApi.Tracing.zh-Hans,False,2018-03-19T19:02:57.223+00:00,True,False,适用于 Microsoft.AspNet.WebApi.Tracing 程序包的简体中文资源,"Microsoft,AspNet,WebApi,AspNetWebApi,Diagnostics,Tracing",24239,True,5.2.3
Microsoft,2015-02-09T20:46:34.363Z,This package contains the components to enable Cross-Origin Resource Sharing (CORS) in ASP.NET Web API.,Microsoft.AspNet.WebApi.Cors,False,2018-03-19T18:50:30.437+00:00,True,False,This package contains the components to enable Cross-Origin Resource Sharing (CORS) in ASP.NET Web API.,"Microsoft,AspNet,WebApi,AspNetWebApi,Cors,Cross,Origin",5879079,True,5.2.3
