authors,created,days_abandoned,days_alive,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
David Dong,2017-12-17T04:43:42.117Z,44,124,LineBot SDK for .NET (Line@ Messaging API supported),LineBotSDK,True,2018-03-07T06:28:15.187+00:00,True,False,LineBot SDK for .NET,LineBot,9230,False,0.6.1-beta
Milton Zurita,2017-12-17T04:45:54.34Z,61,124,Common.Xamarin.ViewModel - Common Base Class for ViewModels that implements the INotifyPropertyChanged interface and provides some convenience methods to notify when a property has changed and includes a simple IsBusy Property which can be inherited since it is a common viewmodel property.,Common.Xamarin.ViewModel,False,2018-02-18T03:28:26.1+00:00,True,False,,"Xamarin,Base,ViewModel",221,False,1.0.0
Milton Zurita,2017-12-17T04:45:54.34Z,61,124,Common.Xamarin.ViewModel - Common Base Class for ViewModels that implements the INotifyPropertyChanged interface and provides some convenience methods to notify when a property has changed and includes a simple IsBusy Property which can be inherited since it is a common viewmodel property.,Common.Xamarin.ViewModel,False,2018-02-18T03:28:26.1+00:00,True,False,,"Xamarin,Base,ViewModel",221,False,1.0.0
Aybe,2014-05-09T16:16:37.337Z,43209,1442,"Contains abstract types of audio objects and units converters.
      
      See the README at GitHub repository.",AudioObjects,False,1900-01-01T00:00:00+00:00,False,False,,"audio,abstraction,converters",-1,False,1.0.5242.31068
David Dong,2017-12-17T04:43:42.117Z,44,124,LineBot SDK for .NET (Line@ Messaging API supported),LineBotSDK,True,2018-03-07T06:28:15.187+00:00,True,False,LineBot SDK for .NET,LineBot,9230,False,0.6.1-beta
Shazzam.Shaders,2014-04-18T02:13:39.147Z,43209,1463,Some shaders for WPF from Shazzam and a few others.,Shazzam.Shaders,False,1900-01-01T00:00:00+00:00,False,False,,"wpf,shader,effect,shazzam,hlsl",-1,False,1.0.0.1
Aybe,2014-09-17T15:30:33.227Z,43209,1311,Contains basic styles for WPF,WpfStyles,False,1900-01-01T00:00:00+00:00,False,False,,"WPF,styles,XAML",-1,False,1.0.0.29631
Aybe,2014-05-09T16:07:52.633Z,43209,1442,"Library that abstracts the rendering of graphics (base library).

      See the README at the GitHub repository.",Graphics,False,1900-01-01T00:00:00+00:00,False,False,,"graphics,abstract,rendering,bitmap",-1,False,1.0.5242.30810
Aybe,2014-05-09T16:29:23.077Z,43209,1442,".NET library for the SonicApi service.

      With this service you can analyze audio files to detect tempo, beats, melody, key chords but also add reverb and do pitch/tempo correction.

      See the README at GitHub repository.",SonicApi,False,1900-01-01T00:00:00+00:00,False,False,,"audio,tempo,loudness,key,chord,melody,pitch,reverb,elastique,elastiqueTune,correction,process,master-tempo,SonicApi,zplane",-1,False,1.0.5242.31463
Aybe,2015-09-06T20:10:43.593Z,43209,957,"WAV format reader that supports 16-bit, 24-bit, 32-bit and 32-bit floating point samples.",Wav,False,1900-01-01T00:00:00+00:00,False,False,,"WAV,WAVE,PCM,RIFF,audio,reader",-1,False,1.0.1
