authors,created,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
Sumit.Khandelwal,2015-04-28T07:37:44.953Z,Package description,NugetPackagesWithFiles.dll,False,2015-04-29T06:13:38.727-07:00,True,False,,"Tag1,Tag2",4588,False,1.0.0
Ben Hanson,2015-04-27T22:02:42.947Z,A NuGet package encapsulating all cloud storage APIs while maintaining all best practices for security and performance,Cloud.Storage,True,2015-04-27T17:06:39.117-07:00,True,False,,,770,False,0.0.1-alpha
Maarten Balliauw,2015-04-28T11:28:17.707Z,"GoogleAnalyticsTracker was created to have a means of tracking specific URL's directly from C#. For example, it enables you to log API calls to Google Analytics.",GoogleAnalyticsTracker.Simple,False,2018-03-02T09:12:37.52+00:00,True,False,"GoogleAnalyticsTracker was created to have a means of tracking specific URL's directly from C#. For example, it enables you to log API calls to Google Analytics.","google,analytics,ga,mvc,api,rest,client,tracker,stats,statistics",25779,True,3.1.0
TGB,2015-04-28T05:19:09.57Z,ITOO.AuthorityDoorLogon.Contracts,ITOO.AuthorityDoorLogon.Contracts,False,2016-01-19T22:25:17.44-08:00,True,False,,"Tag1,Tag2",1101,False,1.0.0
Dror Helper,2015-04-28T08:39:26.587Z,One assert to rule them all,AssertHelper,False,2015-05-21T05:04:44.177-07:00,True,False,,"Unit-testing,NUnit,MSTest",1751,False,1.0.2
Ethan Zhang,2015-04-28T10:15:23.18Z,Collected from the official release of MyBatisNet.DataMapper binaries,Radial.Persist.IBatisMapper,False,1899-12-31T16:00:00-08:00,False,False,,,-1,False,1.6.2
Jason Jarrett,2015-04-28T14:07:46.777Z,TypeScript Definitions (d.ts) for restify. Generated based off the DefinitelyTyped repository [git commit: 00e7f3fede5f2df55b56c72f40a144824f0f0bfa]. http://github.com/DefinitelyTyped,restify.TypeScript.DefinitelyTyped,False,2016-09-28T09:02:47.293-07:00,True,False,,"TypeScript,JavaScript",32117,False,0.6.3
The jQuery Project,2015-04-28T12:46:24.767Z,"Globalize provides number formatting and parsing, date and time formatting and parsing, currency formatting, message formatting (ICU message format pattern), and plural support.
Globalize is based on the Unicode Consortium's Common Locale Data Repository (CLDR), the largest and most extensive standard repository of locale data available. CLDR is constantly updated and is used by many large applications and operating systems, so you'll always have access to the most accurate and up-to-date locale data.",jquery-globalize,False,2017-07-06T06:07:41.087-07:00,True,False,A JavaScript library for internationalization and localization that leverages the official Unicode CLDR JSON data.,"utility,globalization,internationalization,multilingualization,localization,g11n,i18n,m17n,L10n,localize,format,parse,translate,strings,numbers,dates,times,calendars,cultures,languages,locales",620223,False,1.0.0
NanaLich,2015-04-28T09:02:13.087Z,-,OmniKits.Windows.Scripting,False,2015-05-31T20:50:41.347-07:00,True,False,,,1235,False,0.14.3
Mackey Kinard,2015-04-28T04:13:52.503Z,Ajax Gateway Web Application Toolkit - Duo Code Runtime - 0.0.2.18-beta,AjaxGateway.Duo,True,1899-12-31T16:00:00-08:00,False,False,"The Ajax Gateway Duo Code add-on allows developers to compile C#-To-JavaScript, creating complex HTML5 front-ends for web applications in the C# language.","Owin,Ajax,Gateway,DuoCode,Remoting,REST,JSON,RPC,XML",30377,False,0.0.2.18-beta
APPVYR-WIN20122\appveyor,2015-04-28T01:24:56.08Z,Created on 2015-04-28 01:23,Naos.Database.Migrator,False,2017-12-19T14:45:05.017+00:00,True,False,,,18826,False,1.0.23
gabor.sinka,2015-04-28T09:29:55.58Z,Common messaging parts,Erstcom.Shared.Messaging,False,1899-12-31T16:00:00-08:00,False,False,,"ddd,cqrs,messaging",-1,False,1.0.0.1
udithar,2015-04-28T11:10:28.187Z,Contains eSELECTplus_dotNet_API_v2.dll,ESelectPlus,False,1899-12-31T16:00:00-08:00,False,False,,,-1,False,1.0.0
JDSoft,2015-04-28T11:16:20.35Z,Enables basic C# animation of XAML controls,Animo,False,2015-05-04T23:56:22.34-07:00,True,False,,"C#,animation,XAML",1956,False,1.0.0
15below Ltd,2015-04-28T12:06:11.87Z,FifteenBelow Json Converters (F#),FifteenBelow.Json,False,2015-04-28T05:06:11.87-07:00,True,False,,,3316,False,0.2.0.12
cdmdotnet Limited,2015-04-28T11:02:13.527Z,Uml templates and a Visual Studio VISX profile package for the lightweight CQRS framework. Using this package you can generate much of the boiler plate code involved in implementing a CQRS project.,Cqrs.Modelling,False,2018-03-29T02:24:22.753+00:00,True,False,,,46070,False,1.500.536.426
Jason Jarrett,2015-04-28T12:06:30.967Z,TypeScript Definitions (d.ts) for knockout.punches. Generated based off the DefinitelyTyped repository [git commit: 00e7f3fede5f2df55b56c72f40a144824f0f0bfa]. http://github.com/DefinitelyTyped,knockout.punches.TypeScript.DefinitelyTyped,False,2016-06-24T03:04:41.757-07:00,True,False,,"TypeScript,JavaScript",15602,False,0.2.6
neuecc,2015-04-28T02:54:55.277Z,LightNode(as Micro REST/RPC Framework) Client for Unity with UniRx.,LightNode.Client.UniRx.T4,False,2015-10-06T07:02:12.64-07:00,True,False,,"Owin,Rest,RPC,Unity",1839,False,1.3.1
cdmdotnet Limited,2015-04-28T12:01:03.233Z,Uml templates and a Visual Studio VISX profile package for the lightweight CQRS framework. Using this package you can generate much of the boiler plate code involved in implementing a CQRS project.,Cqrs.Modelling,False,2018-03-29T02:24:22.753+00:00,True,False,,,46070,False,1.500.538.427
SleeperSmith,2015-04-28T08:29:12.327Z,A set of psake tasks for building .net solutions.,Kaiseki,False,2015-11-03T06:19:39.96-08:00,True,False,,,2703,False,1.0.4
