authors,created,days_abandoned,days_alive,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
Google Inc.,2014-04-22T17:00:19.027Z,3,1459,"Google APIs Client Library for working with Books v1.
          Supported Platforms:

          - .NET Framework 4 and 4.5

          - Windows Store apps

          - Windows Phone 7.5 and 8

          - Portable Class Libraries",Google.Apis.Books.v1,False,2018-04-17T08:55:47.42+00:00,True,False,,Google,25052,True,1.8.1.510
lishewen,2014-04-22T07:41:49.37Z,1439,1459,"LSWFramework For WP8
一个用VB.Net编写的开源类库
在C#盛行的今日，我们依然坚持用VB开发
此库开源的目的是为简化VB.Net的开发工作

此为单独发布的For WP8版",LSWFramework.WP8,False,2014-05-12T03:19:47.047-07:00,True,False,,"Framework,LSW,VB2012,VB2013,VB,VB.Net,WP8",3740,False,1.2.2
okazuki,2014-04-22T14:36:16.05Z,43209,1459,PrismAdapter Lightweight Prism.StoreApp wrapper. Target platform is Universal Windows app.,PrismAdapter,False,1899-12-31T16:00:00-08:00,False,False,,"winrt,prism,windowsruntime,store,app,universal",-1,False,0.1.8.3
Milosz Krajewski,2014-04-22T22:46:35.39Z,896,1459,"LibZ is an alternative to ILMerge. It allows to distribute your applications or libraries embedded into main assembly or distributed alongside it in single container.
Package contains a tool to create LibZ files and Bootstrapper DLL (optional).",LibZ.Bootstrap,False,2015-11-06T02:58:56.497-08:00,True,False,LibZ is an alternative to ILMerge. It allows to distribute your applications or libraries embedded into main assembly or distributed alongside it in single container.,"ILMerge,distribute,compression,jar,xap",9448,False,1.1.0.1
Google Inc.,2014-04-22T17:17:01.997Z,71,1459,"Google APIs Client Library for working with Prediction v1.3.
          Supported Platforms:

          - .NET Framework 4 and 4.5

          - Windows Store apps

          - Windows Phone 7.5 and 8

          - Portable Class Libraries",Google.Apis.Prediction.v1_3,False,2018-02-08T11:34:48.2+00:00,True,False,,Google,10803,True,1.8.1.520
"DeveloperForce,wadewegner",2014-04-22T23:03:51.87Z,1456,1459,The DeveloperForce.Windows8.Login NuGet provides a set of pages and classes to facilitate the OAuth 2.0 login process with the Salesforce1 Platform APIs.,DeveloperForce.Windows8.Login,False,2014-04-25T11:57:35.883-07:00,True,False,,"salesforce,api,aspnet,mvc,login,oauth",1085,False,0.0.2
Outsite Networks,2014-04-22T15:40:09.793Z,43209,1459,ONI Core Utilities library,ONIUtilities,False,1899-12-31T16:00:00-08:00,False,False,,,-1,False,0.0.3
"Stack Exchange inc.,marc.gravell",2014-04-22T11:55:05.983Z,85,1459,"High performance Redis client, incorporating both synchronous and asynchronous usage; the notional successor to BookSleeve",StackExchange.Redis,False,2018-01-25T09:29:50.6+00:00,True,False,Redis client library,"Async,Redis,NoSQL,Client,Distributed,Cache,PubSub,Messaging",5379994,False,1.0.273
Outsite Networks,2014-04-22T17:44:22.933Z,43209,1459,ONI Core Utilities library,ONIUtilities,False,1899-12-31T16:00:00-08:00,False,False,,,-1,False,0.0.4
NServiceBus Ltd,2014-04-22T13:11:27.157Z,63,1459,The Azure Cloudservices Host for NServicebus,NServiceBus.Hosting.Azure,False,2018-02-16T08:29:01.053+00:00,True,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",151590,False,5.3.0
"Marcus Geelnard,Camilla Berglund",2014-04-22T23:36:11.537Z,43209,1459,"Redistributable components for package 'glfw'. This package should only be installed as a dependency. 
(This is not the package you are looking for).",glfw.redist,False,1900-01-01T00:00:00+00:00,False,False,Redistributable components for for package 'glfw',"CoApp,native,opengl,glfw,nativepackage",-1,False,3.0.4
CareStore,2014-04-22T13:08:18.357Z,1403,1459,Core Class Library for CAALHP,CAALHP.Library,False,2014-06-17T02:27:26.493-07:00,True,False,,CareStore,5940,False,1.0.47
CareStore,2014-04-22T13:41:02.14Z,1402,1459,MAF Pipeline component,Plugins.Host,False,2014-06-18T02:33:40.673-07:00,True,False,,CareStore,8854,False,1.0.15
James Dibble,2014-04-22T15:31:14.273Z,1214,1459,System IComparer realisations,JamesDibble.Extensions.System.Comparers,False,2014-12-23T03:33:40.977-08:00,True,False,,,1803,False,1.1.0.31
GeertvanHorrik,2014-04-22T20:53:16.367Z,4,1459,"Catel.MVVM library which contains the MVVM framework available in Catel. This MVVM framework solves actual
	  real-life development problems when using MVVM for professional applications written in any XAML language
	  such as WPF, Silverlight, Windows Phone and WinRT.",Catel.MVVM,True,2018-04-16T10:11:51.057+00:00,True,False,,"mvvm,data,object,wpf,windows,winrt,phone,wp8,wp,sl,silverlight,view,model,viewmodel",191676,True,3.9.0.1404222225-beta
Jay Traband,2014-04-23T00:21:11.453Z,135,1458,The files and references that are essential for a Breeze Sharp client,Breeze.Sharp,False,2017-12-06T23:13:09.77+00:00,True,False,Breeze Sharp. This package is the .NET client for any Breeze server.,"javascript,WebApi,Breeze,SPA",19283,False,0.5.3
Ian Johnson,2014-04-23T00:35:44.647Z,1270,1458,Grace.Moq provides integration classes between Moq and Grace (Dependency Injection Container),Grace.Moq,False,2014-10-27T18:48:46.47-07:00,True,False,Grace.Moq is a companion library for Grace and Moq,"IoC,Dependency,Injection,Container,Moq",11600,False,2.2.4
Jan Romaniak,2014-04-22T19:35:02.567Z,1459,1459,Template engine based on jade lang.,feint-template-engine,False,2014-04-22T12:35:02.567-07:00,True,False,,"JADE,FEINT,TEMPLATE",1023,False,0.4.1
Vivek.Bhagwat,2014-04-22T16:24:24.887Z,1459,1459,Updates to existing installed SDKTestHarness build.,SDKTestHarnessUpdates,False,2014-04-22T09:24:24.887-07:00,True,False,SDKTestHarnessUpdates,SDK,929,False,1.7.0
