authors,created,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
Asger Hallas,2015-05-05T12:55:22.207Z,Json.NET serializer for HybridDb,HybridDb.NewtonsoftJson,False,1900-01-01T00:00:00+00:00,False,False,,,8297,False,0.6.13
GeertvanHorrik,2015-05-05T12:20:33.15Z,Json serialization implementation for Catel.,Catel.Serialization.Json,True,2018-04-16T10:11:47.76+00:00,True,False,,"catel,json,serialization",27947,True,4.2.0-unstable0073
"Ryan Riley (@panesofglass),Andrew Cherry (@kolektiv)",2015-05-04T23:30:27.983Z,Freya,Freya.Machine.Extensions.Http,True,2016-03-05T13:56:49.053-08:00,True,False,Freya - A Functional-First F# Web Stack,"f#,fsharp,web,owin,http,machine",17980,False,0.11.0-alpha-172
tom-englert.de,2015-05-05T13:19:32.753Z,A set of classes and functions to ease our daily .Net development tasks.,TomsToolbox.ObservableCollections,False,2018-02-20T09:29:54.55+00:00,True,False,Tools for .Net desktop development.,".Net,Tools,Extensions",11771,False,1.0.9
Ove Andersen,2012-08-04T13:19:14.297Z,Controller for automatically generating documentation pages for your ASP.NET Web API.,WebApi.DocumentationController,False,1899-12-31T16:00:00-08:00,False,False,,"webapi,documentation,route",-1,False,1.0.0.5
Chillisoft,2015-05-05T14:00:44.707Z,Habanero.Faces,Habanero.Faces,True,2017-04-19T21:02:45.06-07:00,True,False,,,163761,False,3.9.422-prerelease
Mads Tjørnelund Toustrup,2015-05-05T12:20:43.677Z,An extension to ScriptCs.Rebus for using Azure Service Bus as transport mechanism.,ScriptCs.Rebus.AzureServiceBus,False,2015-05-05T05:20:43.677-07:00,True,False,,"scriptcs,rebus,scriptpack,messaging,azure,servicebus",2652,False,0.6.0
Weingartner,2015-05-05T12:14:44.837Z,"Implements a type safe resource cs file generation. The generated properties are avaliable on a singleton instance. The
    properties generate INPC change notification when the culture changes.",I18N.Reactive,False,2017-12-12T06:14:32.067+00:00,True,False,"Implements a type safe resource cs file generation. The generated properties are avaliable on a singleton instance. The
    properties generate INPC change notification when the culture changes.","I18N,Reactive,T4,Culture,WPF",10455,False,2.1.6
Khalid,2015-05-04T22:41:54.54Z,"A helper class with console arguments parsing, log initialization, configuration file loading.
        Uses NLog for logging.",SimpleHelpers.ConsoleUtils,False,2016-04-27T10:02:46.71-07:00,True,False,"A helper class with console arguments parsing, log initialization, configuration file loading. 
        Uses NLog for logging.",Template,6343,False,1.0.3
"Ryan Riley (@panesofglass),Andrew Cherry (@kolektiv)",2015-05-04T22:56:35.117Z,Freya,Freya.Machine.Extensions.Http,True,2016-03-05T13:56:49.053-08:00,True,False,Freya - A Functional-First F# Web Stack,"f#,fsharp,web,owin,http,machine",17980,False,0.11.0-alpha-170
CapableObjects,2015-05-05T05:45:42.093Z,Descr,EcoSqlServer,False,2018-04-17T02:38:30.423+00:00,True,False,,"MDriven,Framework,ModelDrivenDevelopment,ECO,CapableObjects",142919,False,7.0.0.7827
JDSoft,2015-04-28T13:33:24.287Z,Enables basic C# animation of XAML controls,Animo,False,2015-05-04T23:56:22.34-07:00,False,False,,"C#,animation,XAML",1956,False,1.1.0
Justin Maier,2015-05-04T23:38:58.05Z,An all angular/native JS ranger slider that is mobile friendly and super fast.,AngularJs.Ranger,False,2016-03-03T04:25:30.143+00:00,True,False,"A mobile friendly, super-fast, range slider. No jQuery necessary...","angularjs,angular,range,slider,ranger",2755,False,0.1.0
"Ryan Riley (@panesofglass),Andrew Cherry (@kolektiv)",2015-05-04T23:46:55.067Z,Freya,Freya.Machine,True,2016-03-05T13:56:43.473-08:00,True,False,Freya - A Functional-First F# Web Stack,"f#,fsharp,web,owin,http,machine",18283,False,0.11.0-alpha-173
"Ryan Riley (@panesofglass),Andrew Cherry (@kolektiv)",2015-05-04T22:57:41.367Z,Freya,Freya.Machine.Router,True,2016-03-05T13:57:00.11-08:00,True,False,Freya - A Functional-First F# Web Stack,"f#,fsharp,web,owin,http,machine",18094,False,0.11.0-alpha-170
Paket team,2015-05-05T14:29:51.847Z,A package dependency manager for .NET with support for NuGet packages and GitHub repositories.,Paket,False,2018-04-17T08:54:34.933+00:00,True,False,A package dependency manager for .NET with support for NuGet packages and GitHub repositories.,"nuget,bundler,F#",825043,False,1.3.10
Ben Abelshausen,2015-05-04T23:49:47.43Z,Library to read shapefiles and use them for routing.,OsmSharp.Routing.Shape,True,1899-12-31T16:00:00-08:00,False,False,Library to read shapefiles and use them for routing in OsmSharp.,"osm,openstreetmap,routing,nts",-1,False,0.1.0.71-beta
Paket team,2015-05-05T08:13:12.957Z,A package dependency manager for .NET with support for NuGet packages and GitHub repositories.,Paket,False,2018-04-17T08:54:34.933+00:00,True,False,A package dependency manager for .NET with support for NuGet packages and GitHub repositories.,"nuget,bundler,F#",825043,False,1.3.8
Antonello Provenzano,2015-05-04T22:13:46.397Z,"Deveel Math is the port to .NET/Mono of the Apache Harmony Math component, that is used to handle operations on big numbers in a fast and secure way.
		
		This package supports the x64 processor architecture.",dmath-x64,False,2017-04-01T02:56:05.28-07:00,True,False,,"math,decimal,bigdecimal,integer,biginteger,int,deveel,harmony,x64",5346,False,1.5.59
Aspose,2015-05-05T12:59:33.323Z,"Aspose.Email for .NET is a collection of components for working with email from within ASP.NET web applications, web services or Windows applications. It makes it easy to work with Outlook PST, EML, MSG and MHT files.",Aspose.Email,False,2018-03-24T05:00:02.277+00:00,True,False,Aspose.Email for .NET is a component to work with Email files,"Email,eml,msg,pst,outlook",163941,False,5.3.0
Peter Groenewegen,2015-05-05T11:07:51.177Z,WFC behavoir to log soap messages and headers with log4net,WcfBehavoirSoapLog4net,False,1899-12-31T16:00:00-08:00,False,False,,"soap,wcf,message,headers,logging,log4net",-1,False,1.0.0
"Ryan Riley (@panesofglass),Andrew Cherry (@kolektiv)",2015-05-04T23:12:03.837Z,Freya,Freya.Core,True,2017-04-08T23:51:04.553-07:00,True,False,Freya - A Functional-First F# Web Stack,"f#,fsharp,web,owin,http,machine",25957,False,0.11.0-alpha-171
rasmus,2015-05-05T06:51:13.983Z,MSSQL event store for EventFlow,EventFlow.EventStores.MsSql,False,1899-12-31T16:00:00-08:00,False,False,,"CQRS,ES,event,sourceing,mssql,eventstore",-1,False,0.4.356
neuecc,2015-05-05T09:56:00.24Z,LightNode(as Micro REST/RPC Framework) Client for Unity with UniRx.,LightNode.Client.UniRx.T4,False,2015-10-06T07:02:12.64-07:00,True,False,,"Owin,Rest,RPC,Unity",1839,False,1.4.0
Ben Abelshausen,2015-05-04T23:38:20.073Z,OsmSharp is an open-source mapping project.,OsmSharp.SQLite,True,2016-02-25T05:56:33.133-08:00,True,False,OsmSharp is an open-source mapping project available on Android and iOS using Xamarin and other platforms using Mono/.NET,"osm,openstreetmap,routing,rendering,xamarin,mapping",15906,False,4.3.0.1000-beta
Derek Beattie,2015-05-05T18:00:04.403Z,A C#.NET port of https://github.com/nispok/snackbar.  Library that implements Snackbars from Google's Material Design documentation.,SnackbarSharp.dll,False,2015-05-19T08:56:26.603-07:00,True,False,,"snackbarsharp,snackbar,xamarin,monodroid",2747,False,1.0.4
GeertvanHorrik,2015-05-05T12:20:14.127Z,"Catel.Extensions.EntityFramework5 library which provides data classes such as repositories, unit of work, DbContextManager and more.",Catel.Extensions.EntityFramework5,True,2016-11-29T13:36:06.393+00:00,True,False,,"catel,entity,framework,entityframework,EF,EF5,UnitOfWork,unit,of,work,DbContextManager,repository,repositories,database",96703,True,4.2.0-unstable0073
Peter Groenewegen,2015-05-05T11:07:51.177Z,"WFC behavoir to log soap messages and headers with log4net

Add the following in your wcf configuration  <system.serviceModel>:

    <extensions>
      <behaviorExtensions>
        <add name=""log4netOutputBehavior"" type=""WcfBehavoirSoapLog4net.Behavoirs.Log4NetOutputBehaviorExtensionElement, WcfBehavoirSoapLog4net, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null"" />
        <add name=""log4netOutputBehaviorHeaders"" type=""WcfBehavoirSoapLog4net.Behavoirs.Log4NetOutputHeadersBehaviorExtensionElement, WcfBehavoirSoapLog4net, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null"" />
      </behaviorExtensions>
    </extensions>
    <behaviors>
      <endpointBehaviors>
        <behavior name=""log4NetBehavior"">
          <log4netOutputBehavior />
          <log4netOutputBehaviorHeaders />
        </behavior>
      </endpointBehaviors>
    </behaviors>
...
    <client>
      <endpoint ... behaviorConfiguration=""log4NetBehavior"" />
...      

",WcfBehavoirSoapLog4net,False,1899-12-31T16:00:00-08:00,False,False,This package enables you to log the incoming and outgoing soap of your wcf client or server connection with log4net.,"soap,wcf,message,headers,logging,log4net",-1,False,1.0.0
GeertvanHorrik,2015-05-05T12:20:02.597Z,"Catel.MVVM library which contains the MVVM framework available in Catel. This MVVM framework solves actual
	  real-life development problems when using MVVM for professional applications written in any XAML language
	  such as WPF, Silverlight, Windows Phone and WinRT.",Catel.MVVM,True,2018-04-16T10:11:51.057+00:00,True,False,,"mvvm,data,object,wpf,windows,winrt,phone,wp8,wp,sl,silverlight,view,model,viewmodel",190827,True,4.2.0-unstable0073
"Ryan Riley (@panesofglass),Andrew Cherry (@kolektiv)",2015-05-04T23:29:22.9Z,Freya,Freya.Core,True,2017-04-08T23:51:04.553-07:00,True,False,Freya - A Functional-First F# Web Stack,"f#,fsharp,web,owin,http,machine",25957,False,0.11.0-alpha-172
Rodolfo Neuber,2015-05-05T06:53:07.92Z,A platform agnostic and fluent Graph library in C#.,GraphTheory,True,2015-05-25T11:09:18.963-07:00,True,False,Easily create graphs with this fluent API.,GraphTheory,1513,False,0.0.14-alpha
