authors,created,days_abandoned,days_alive,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
Anshul Vishwakarma,2018-02-26T19:40:58.15Z,16,53,Commonly used utilities by Anshul Vishwakarma,Anshul.Utilities,False,2018-04-04T07:29:28.76+00:00,True,False,,"anshul,utilities",4702,False,1.0.46
Aspose,2018-02-26T19:38:22.127Z,43209,53,Aspose.OMR Cloud SDK provides functionality for using Aspose.OMR for Cloud API to recognize optical mark from OMR scanned sheet images in the cloud.,Aspose.OMR_Cloud,False,1900-01-01T00:00:00+00:00,False,False,,OMR,-1,False,1.0.2
DotSpatial Team,2016-04-28T13:48:32.837Z,405,722,"Analysis and manipulation classes, such as clip raster with polygon, which are generally wrapped by a tool.",DotSpatial.Analysis,False,2017-03-11T08:13:55.08+00:00,True,False,,"Spatial,GIS,DotSpatial,HideReleaseFromEndUser",22487,False,1.9.0
DotSpatial Team,2016-04-28T13:50:14.87Z,405,722,"Windows Forms controls, includes a map control and legend control.",DotSpatial.Controls,False,2017-03-11T08:14:12.973+00:00,True,False,,"Spatial,GIS,DotSpatial,HideReleaseFromEndUser",29486,False,1.9.0
DotSpatial Team,2016-04-28T13:50:35.867Z,405,722,GIS Data objects for DotSpatial.,DotSpatial.Data,False,2017-03-11T08:14:20.757+00:00,True,False,,"Spatial,GIS,DotSpatial,HideReleaseFromEndUser",85725,False,1.9.0
DotSpatial Team,2016-04-28T13:51:08.71Z,405,722,Windows Forms controls for working with DotSpatial GIS objects.,DotSpatial.Data.Forms,False,2017-03-11T08:14:30.09+00:00,True,False,,"Spatial,GIS,DotSpatial,HideReleaseFromEndUser",45848,False,1.9.0
.Net Report Builder,2016-02-19T05:50:56.363Z,6,791,.Net Ad hoc Reporting Tool for MVC that allows programmers to easily add Report building functionality to their ASP .NET Web Application,dotNetReport,False,2018-04-14T08:47:54.5+00:00,True,False,,"ad-hoc,reporting,asp,.net,mvc,report,builder,ad,hoc,adhoc,reports,viewer,reportviewer,sql,web,forms,query,visual,custom,maker,dotnetreport",5263,False,1.2.4
DotSpatial Team,2016-04-28T13:49:49.067Z,405,722,MapWindow 4 compatibility.,DotSpatial.Compatibility,False,2017-03-11T08:14:03.783+00:00,True,False,,"Spatial,GIS,DotSpatial,HideReleaseFromEndUser",12623,False,1.9.0
Eric Johansson,2018-02-26T19:34:51.323Z,22,53,Client for Svea Ekonomi checkout solution. Simplifies REST calls with securitytokens to simple class function calls.,CeriQ.Svea.Checkout,False,2018-03-29T17:39:27.993+00:00,True,False,,"Svea,Checkout,Payment,CeriQ,APIClient,Client,API",115,False,1.0.0
Eric Johansson,2018-02-26T19:34:51.323Z,22,53,Client for Svea Ekonomi checkout solution. Simplifies REST calls with securitytokens to simple class function calls.,CeriQ.Svea.Checkout,False,2018-03-29T17:39:27.993+00:00,True,False,,"Svea,Checkout,Payment,CeriQ,APIClient,Client,API",115,False,1.0.0
