authors,created,days_abandoned,days_alive,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
The Foo Project Pty. Ltd.,2014-10-10T02:41:35.367Z,1143,1288,GIS code.,FooProject.GIS,False,2015-03-03T20:55:50.867-08:00,True,False,,,1916,False,1.0.1
"Wiebe Tijsma,Mike Hadlow",2014-10-09T19:39:32.31Z,43209,1289,An adaptor to allow EasyNetQ to use Autofac as its internal IoC container,EasyNetQ.DI.Autofac,False,1900-01-01T00:00:00+00:00,False,False,,"RabbitMQ,Messaging,AMQP,REST,API,Ninject",65613,False,0.36.5.313
Ben Ernst,2014-10-10T01:26:05.707Z,1288,1288,Extensions for NAnt,Boinst.NAntExtensions,False,2014-10-09T18:29:56.243-07:00,True,False,,,1493,False,1.0.0.3
Terradue,2014-10-09T13:19:38.67Z,73,1289,Terradue.OpenSearch.GeoJson is a library targeting .NET 4.0 and above that provides an extension to Terradue.OpenSearch to query from a class or an URL from/to GeoJson format,Terradue.OpenSearch.GeoJson,False,2018-02-06T16:28:31.587+00:00,True,False,GeoJson OpenSearch extension library for .Net,,6674,False,1.0.0
NServiceBus Ltd,2014-10-09T05:44:45.207Z,14,1289,Acceptance tests for nservicebus core functionality,NServiceBus.AcceptanceTests.Sources,False,2018-04-06T19:48:16.957+00:00,True,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",23141,False,4.7.1
NServiceBus Ltd,2014-10-09T23:05:37.133Z,63,1289,"The hosting template for the nservicebus, The most popular open-source service bus for .net",NServiceBus.Host,False,2018-02-16T08:27:09.05+00:00,True,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",446743,False,4.3.8
"Nikolai Mynkow,Simeon Dimov",2014-10-09T10:12:20.66Z,17,1289,CQRS + EvetStore framework,Cronus,True,2018-04-03T08:44:38.057+00:00,True,False,CQRS + EvetStore framework,"CQRS,DDD,ES,Event,store,sourcing",41642,False,1.1.42-beta6
guitarrapc,2014-10-09T04:18:39.117Z,1282,1289,PowerShell Remote deployment library for Windows Servers,valentia,False,2014-10-16T10:04:09.557-07:00,True,False,,"PSGet,PowerShell",2806,False,0.4.1
Alexander Yevtushenko,2014-10-09T22:34:55.367Z,1289,1289,"A set of useful extension methods.
Null and default values checking, Strings helpers, basic validators.",HandyExtensions,False,2014-10-09T15:34:55.367-07:00,True,False,,"extension,helper,null,require,default",1237,False,1.1.1
Morten Fæster,2014-10-09T09:04:37.053Z,1289,1289,Various utilities used by SSO.,JpPolitikensHus.TelmoreTokenValidation,False,2014-10-09T02:04:37.053-07:00,True,False,,SSO,711,False,0.5.1.122
Acklen Avenue,2014-10-09T15:23:08.743Z,987,1289,BlingBag is a library that helps implement domain events in a behavior-rich domain model.,BlingBag,False,2015-08-07T12:48:15.903-07:00,True,False,,"Domain,Events,DDD,Architecture",20698,False,1.3.4
Signere.no,2014-10-09T07:27:39.637Z,43209,1289,"Client library to communication with Signere.no REST API.
		The library contains relevant model classes and a client class with methods to access all resources provided in the Signere.no API. 
		The client class itself is implemented from an interface to make it easily testable.
		
		All explicit communication with the API is handled internally and translated to POCO objects. 
		The client methods require certain fields from Signere.no user credentials in order to work properly. 
		To create a user account and obtain these credentials, please visit signere.no .  
		
		Also, check out the REST API documentation at Https://api.signere.no for further details about the resources that can be accessed through this library.",Unipluss.Sign.Client,False,1900-01-01T00:00:00+00:00,False,False,,"Signere,Sign,BankID,Digital,signatur,Uni,Pluss,Signere.no",245837,False,1.0.1547
Dennis Roche,2014-10-09T12:16:14.88Z,1288,1289,PowerShell CmdLets for the native Windows Imaging API (WIMGAPI),Microsoft.Wim.Powershell,False,2014-10-09T22:40:24.103-07:00,True,False,,"powershell,wimgapi",1074,False,1.0.0
Rafał Jasica,2014-10-09T06:16:22.933Z,20,1289,"Generate Equals, GetHashCode and operators methods from public properties.",Equals.Fody,False,2018-03-31T13:21:46.623+00:00,True,False,,"Equals,GetHashCode,Operators,ILWeaving,Fody,Cecil",33868,False,1.4.0
SEEK Ltd.,2014-10-10T04:03:13.597Z,995,1288,Custom DSC Resources for installing and uninstalling software packages and updates,seek-dsc-software,False,2015-07-30T06:11:22.58-07:00,True,False,,"admin,DSC",14785,False,1.0.0.48
Shawn Mclean,2014-10-09T03:30:30.373Z,43209,1289,Grikly is an API wrapper to help developers getting started with the grikly api fast and easy.,Grikly,False,1900-01-01T00:00:00+00:00,False,False,,"Grikly,Cards,Contact",10966,False,1.0.34
IntelliFactory,2014-10-09T16:29:49.647Z,40,1289,WebSharper-compiled TypeScript standard library (lib.d.ts),WebSharper.TypeScript.Lib,False,2018-03-11T12:52:47.997+00:00,True,False,WebSharper-compiled TypeScript standard library (lib.d.ts),,11775,False,2.5.40
NServiceBus Ltd,2014-10-09T13:12:08.617Z,393,1289,Support code to implement profiles in a NServiceBus host,NServiceBus.Hosting.Profiles.Sources,False,2017-03-23T11:20:59.803-07:00,True,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",2409,False,5.0.1
Microsoft,2014-10-09T17:04:38.463Z,973,1289,Bu paket ASP.NET Web API OData için Türkçe uydu derlemelerini içerir.,Microsoft.AspNet.WebApi.OData.tr,False,2015-08-21T01:45:17.723-07:00,True,False,Microsoft.AspNet.WebApi.OData paketi için Türkçe kaynaklar,"Microsoft,AspNet,WebApi,AspNetWebApi,OData",5475,True,5.3.1
Hewlett-Packard Company,2014-10-09T11:16:46.32Z,1289,1289,Tharga Test Toolkit contains common functions for testing.,Tharga.Test.Toolkit,False,2014-10-09T04:16:46.32-07:00,True,False,,,433,False,1.3.1.7
JuneT,2014-10-09T12:44:01.943Z,1289,1289,Sql-based offline store for use with Microsoft Azure Mobile Services offline sync support.,ZumoContrib.Sync.SqlStore,True,2014-10-09T05:44:01.943-07:00,True,False,,"Azure,Mobile,Services,Offline,Sync",265,False,1.0.0-beta
latticework,2014-10-09T08:03:41.203Z,1733,1289,latticework.cs,latticework.cs,False,2013-07-22T14:32:56.307+00:00,True,False,,,312286,False,0.0.506
Kyle,2014-10-09T02:43:57.743Z,510,1289,"Note: I need to work out a couple bugs, and will upload a new version soon.

Inspired and heavily borrowed from...

http://msdn.microsoft.com/en-us/library/dn589784.aspx

Check out the project site (github.com) for details on how to use the breaker.",CircuitBreaker,False,2016-11-25T18:33:59.067-08:00,True,False,A circuit breaker implementation.,,941,False,1.0.1
Slyno,2014-10-10T03:06:01.22Z,479,1288,Universal library to help with MVVM applications.,Slyno.MVVMToolkit,False,2016-12-27T21:30:22.47+00:00,True,False,,,2875,False,2.1.0.1
CodeSharp,2014-10-09T10:03:44.343Z,19,1289,An implementation of WAMP (The Web Application Messaging Protocol). Supports both WAMPv2 and WAMPv1.,WampSharp,True,2018-04-01T03:47:08.49+00:00,True,False,,"websockets,wampws,rpc,pubsub,wampv1,wampv2",78918,False,1.2.0.1-beta
