authors,created,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
ShortBus community,2014-02-11T15:20:13.797Z,ShortBus is an in-process mediator with low-friction API,ShortBus.Autofac,True,2014-02-11T07:20:13.797-08:00,True,False,ShortBus is an in-process mediator with low-friction API,,1983,False,3.0.48-beta
Pablo Pérez,2014-02-12T11:32:12.293Z,Tools to Speed Up ASP.NET MVC Coding,MvcBoost.Core,False,2014-04-09T08:32:00.17-07:00,True,False,,"AspNetMvc,MVC,MvcBoost",3730,False,0.10.5156.22453
Guillaume Dumont,2014-02-11T16:33:59.797Z,"The glog library implements application-level logging. 
         This library provides logging APIs based on C++-style streams and various helper macros.",glog,False,2014-02-11T08:33:59.797-08:00,True,False,Logging library for C++,"nativepackage,CoApp,glog",54354,False,0.3.3
Guillaume Dumont,2014-02-11T16:33:53.013Z,"Additional components for package 'glog'. This package should only be installed as a dependency. 
(This is not the package you are looking for).",glog.overlay-x64_v100_Debug_dynamic,False,1899-12-31T16:00:00-08:00,False,False,Additional components for package 'glog',,-1,False,0.3.3
Service Stack,2014-02-12T08:24:39.8Z,"Light, simple and fast convention-based code-first POCO ORM. Support for Creating and Dropping Table Schemas from POCOs, Complex Property types transparently stored in schemaless text blobs in Sqlite.",ServiceStack.OrmLite.Sqlite64,False,2015-07-07T07:21:42.093-07:00,True,False,,"Sqlite,64bit,OrmLite,POCO,Code-First,Orm,Schema-less,Blobs",49146,False,4.0.10
Mark,2014-02-12T01:10:55.863Z,Description,WFM.BasicUserControl,False,2014-03-04T02:06:31.743-08:00,True,False,,,2159,False,1.0.6
CapableObjects,2014-02-12T06:43:33.1Z,Descr,EcoOtherDatabasePersistenceMappers,False,2018-04-17T02:38:14.233+00:00,True,False,,"ModelDrivenDevelopment,ECO,CapableObjects",141036,False,7.0.0.7045
"Steffen Forkmann,Mauricio Scheffer,Colin Bull",2014-02-11T18:00:58.587Z,FAKE - F# Make - is a build automation tool for .NET. Tasks and dependencies are specified in a DSL which is integrated in F#. This package bundles all extensions.,FAKE,True,2018-04-15T16:37:14.193+00:00,True,False,FAKE - F# Make - Get rid of the noise in your build scripts.,build,1440554,False,2.9.33-alpha
"Wiebe Tijsma,Mike Hadlow",2014-02-12T10:02:26.977Z,An adaptor to allow EasyNetQ to use Autofac as its internal IoC container,EasyNetQ.DI.Autofac,False,1900-01-01T00:00:00+00:00,False,False,,"RabbitMQ,Messaging,AMQP,REST,API,Ninject",64796,False,0.26.7.214
Microsoft,2014-02-12T08:29:35.047Z,"Use this for Windows Azure Service Bus Queues, Topics, Relay and Notification Hubs backend operations. 
It adds Microsoft.ServiceBus.dll along with related configuration files to your project. This library allows AMQP 1.0 to be used as one of the protocols for communication with Windows Azure Service Bus. Notification Hubs support sending push notifications to Windows, Windows Phone, iOS and Android. Please note that this package requires .Net Framework 4 Full Profile.",WindowsAzure.ServiceBus,False,2018-01-24T22:39:41.77+00:00,True,False,"Client library for Windows Azure Service Bus Queues, Topics, Relay and Notification Hubs backend operations.","ServiceBus,Microsoft,Azure,AppFabric,Messaging,PubSub,Publish,Subscribe,Queue,Topic,Relay,Service,Bus,AMQP,OASIS,windowsazureofficial,NotificationHub,Notifications,Notification,Hub,Push,Windows,Phone,iOS,Android",9742791,True,2.2.5
Framework One,2014-02-12T12:11:31.407Z,The modules required to build CloudCore-based web modules.,CloudCore.Web,False,2018-04-10T10:18:11.247+00:00,True,False,,,71960,False,1.1.120
rajiv.mounguengue,2014-02-12T10:51:34.277Z,Collection of presentation controls,Hse.Presentation.Controls,True,2015-03-04T07:08:41.113-08:00,True,False,,"hse,wpf,controls",3554,False,1.0.9-beta
GeertvanHorrik,2014-02-11T14:56:57.097Z,Catel.Extensions.Memento library which provides the memento pattern implementation as a service.,Catel.Extensions.Memento,True,2016-11-29T13:36:18.13+00:00,True,False,,"catel,memento",84774,True,3.9.0.1402111521-beta
