authors,created,days_abandoned,days_alive,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
Grid Protection Alliance,2015-06-05T17:05:44.84Z,374,1050,Enables role-based security using Grid Solutions Framework security layer in an ASP.NET application.,GSF.Web.Security,True,2017-04-11T20:42:41.46+00:00,True,False,,"Web,Application,Security",61164,False,2.1.74-beta
pbwebmaster,2015-06-05T19:21:00.517Z,1050,1050,"Styling for PetsBest, all located in one central place!",PBStyles,False,2015-06-05T13:02:19.067-07:00,True,False,,,662,False,1.0.0
Microsoft,2015-06-05T23:00:47.14Z,154,1050,Custom session state provider for redis cache.,Microsoft.Web.RedisSessionStateProvider,False,2017-11-17T23:34:10.153+00:00,True,False,,"session,sessionstateprovider,azure,microsoft,windowsazureofficial,redis",1104336,True,1.6.4
Matthieu MEZIL,2015-06-06T06:30:08.78Z,1043,1049,https://github.com/MatthieuMEZIL/waqs/wiki,WAQS.Client.PCL,False,2015-06-12T16:19:31.84-07:00,True,False,https://github.com/MatthieuMEZIL/waqs/wiki,WAQS,6029,False,1.9.2.92
Bill Pratt,2015-05-06T13:05:24.277Z,43209,1080,Redis Cache Service is a simple service to get and set cache values in Redis. It currently supports keys and hash sets.,YaRedisCacheService,False,1899-12-31T16:00:00-08:00,False,False,,"redis,cache",-1,False,1.0.2
Google Inc.,2015-06-05T21:37:46.83Z,4,1050,"Google APIs Client Library for working with Youtube v3.
          Supported Platforms:

          - .NET Framework 4 and 4.5

          - Windows Store apps

          - Windows Phone 8 and 8.1

          - Portable Class Libraries

          More documentation on the API is available at:
          https://developers.google.com/api-client-library/dotnet/apis/youtube/v3

          The package source code is available at:
          https://developers.google.com/resources/api-libraries/download/youtube/v3/csharp",Google.Apis.YouTube.v3,False,2018-04-16T09:01:45.623+00:00,True,False,,Google,907774,True,1.9.0.1390
Vlad Hrybok,2015-06-05T21:12:27.807Z,995,1050,"An AOP framework that can intercept any method call: instance or static, virtual or not. It's very easy to get started with, it has in-depth support of LINQ and comes with bunch of useful stock aspect classes for DAL, BL, Testing and Service tiers.",Aspectacular,False,2015-07-29T19:26:25.657-07:00,True,False,"LINQ-friendly, Aspect-Oriented framework for .NET 4.x enterprise dev, with EF and ASP.NET web development.","AOP,Aspect-Oriented,Aspect,Entity,Framework,Web,ASP.NET,Linq,Enterprise,IoC",4325,False,2.1.9
Cyril Schumacher,2015-06-06T19:53:33.947Z,1049,1049,Library for retrieves a file (or even a list of files in a directory) contained the Application Data directory through a URL.,AppDataRest,False,2015-06-06T12:53:33.947-07:00,True,False,,"appdata,rest,file",604,False,1.0.1
Devaxy,2015-06-06T14:34:11.6Z,618,1049,Private package for devaxy developers,DevaxyToolkit,False,2016-08-10T15:07:18.103-07:00,True,False,,,2715,False,0.1.7
Grid Protection Alliance,2015-06-05T17:03:30.99Z,1,1050,"Library of components that facilitate remote interaction with a Windows Service from Console, Windows and Web applications.",GSF.ServiceProcess,True,2018-04-19T04:18:09.743+00:00,True,False,,"Windows,Services,Remote,Access,Console,Client,Server,Monitoring",71851,False,2.1.74-beta
Alim Ul Karim,2015-06-06T19:03:40.287Z,641,1049,My package description.,DevMVCComponent,False,2016-07-18T13:27:00.33-07:00,True,False,"It solve all regular MVC required functionalities like sending emails, caching, cookies handling, track errors with email, session and so on.","Developers,Organism,MVC,Component,Mailing,Caching,Cookie,component",7250,False,1.0.8
"Marco Minerva,Marco Dal Pino",2015-06-05T20:46:12.24Z,349,1050,This library allows to easily interact with GPIOs in Windows 10 IoT Core with boards like Raspberry Pi 2 and MinnowBoard Max.,IoTHelpers,False,2017-05-06T06:28:59.843-07:00,True,False,,"iot,windows10,raspberry",5310,False,0.2.2
s.bayat,2015-06-06T07:26:28.51Z,43209,1049,My package description.,RTL_nupkg,False,1899-12-31T16:00:00-08:00,False,False,,,-1,False,1.0.26
Mackey Kinard,2015-06-06T03:49:47.223Z,43209,1049,Ajax Gateway Web Application Toolkit - Duo Code Runtime - 0.2.1.25-beta,AjaxGateway.Duo,True,1899-12-31T16:00:00-08:00,False,False,"The Ajax Gateway Duo Code add-on allows developers to compile C#-To-JavaScript, creating complex HTML5 front-ends for web applications in the C# language.","Owin,Ajax,Gateway,DuoCode,Remoting,REST,JSON,RPC,XML",30772,False,0.2.1.25-beta
"Admir Tuzovic,Josip Dusper",2013-09-24T11:35:03.017Z,356,1669,Vault.DAL is set of extensions for Entity Framework 5.0.0 with Code First preference. Derive from VaultDbContext to gain access to method extensions.,Vault.DAL,False,2017-04-29T00:39:49.93-07:00,True,False,Vault DAL library provides set of useful extensions to Entity Framework.,,22216,False,0.0.27
Clearspan Components,2015-06-05T18:36:13.26Z,273,1050,GeometryClassLibrary,GeometryClassLibrary,False,2017-07-21T14:52:23.36+00:00,True,False,,,22059,False,1.4.5634.24406
Phillip Wong,2015-06-05T20:16:03.583Z,436,1050,Simple log4net appender which logs to the raygun.io API from your MVC application.,log4net.Raygun.Mvc,False,2017-02-07T16:52:37.24-08:00,True,False,,"log4net,raygun,appender,mvc,logging",3186,False,4.1.0.21896
Grid Protection Alliance,2015-06-06T05:49:30.097Z,1,1049,Library of time-series data historian archiving components.,GSF.Historian,True,2018-04-19T04:17:52.507+00:00,True,False,,"Historian,TimeSeries,Data,Archive,Query,Metadata,Sorting",71163,False,2.1.75-beta
$������$,2015-06-06T06:51:36.62Z,1049,1049,$ITOO.FreshConfigManage.Contracts$,ITOO.FreshConfigManage.Contracts,False,2015-06-06T02:22:48.37-07:00,True,False,,,472,False,1.0.0
Mackey Kinard,2015-06-06T05:53:37.617Z,43209,1049,Ajax Gateway Web Application Toolkit - Host Services - 0.2.1.26-beta,AjaxGateway.Host,True,1899-12-31T16:00:00-08:00,False,False,The Ajax Gateway is a GWT like development toolkit for building complex AJAX host applications in the C# language. Its goal is to enable productive development of cross platform server or service host applications for C# developers.,"Owin,Ajax,Gateway,DuoCode,Remoting,REST,JSON,RPC,XML",30274,False,0.2.1.26-beta
Phillip Wong,2015-06-05T20:17:00.897Z,436,1050,Simple log4net appender which logs to the raygun.io API from your WebApi application.,log4net.Raygun.WebApi,False,2017-02-07T16:52:56.943-08:00,True,False,,"log4net,raygun,appender,webapi,logging",3632,False,4.1.0.21895
Cristián Ormazábal,2015-06-05T19:01:06.56Z,842,1050,"Este paquete instala las definiciones básicas de interoperabilidad de los sistemas de 
      Pasamonte Labs.",Pasamonte.ApiClient.Core,False,2015-12-30T12:25:32.17-08:00,True,False,Definiciones para interoperabilidad Pasamonte Labs.,pasamonte,932,False,1.2.0.3
Advenker Products,2015-06-06T21:39:06.877Z,1049,1049,"Provides more tools, classes and structures to develop applications in the .NET Framework platform.",System.Expansion,False,2015-06-06T14:39:06.877-07:00,True,False,,,374,False,1.0.0.96
Halil İbrahim Kalkan,2015-06-06T11:24:22.417Z,39,1049,"ASP.NET Boilerplate - Module Zero. Implements tenant, role, user and setting management for ABP.",Abp.Zero,False,2018-03-12T13:54:10.46+00:00,True,False,,"asp.net,boilerplate,mvc,application,web,framework,domain,driven,design,dependency,injection,identity,user,role,management,multi,tenancy",240089,False,0.6.3
Matthieu MEZIL,2015-06-06T03:40:50.6Z,1037,1049,https://github.com/MatthieuMEZIL/waqs/wiki,WAQS,False,2015-06-17T23:44:18.897-07:00,True,False,https://github.com/MatthieuMEZIL/waqs/wiki,WAQS,3355,False,1.9.2.21
Andy Sherwood,2015-06-05T18:09:58.63Z,1050,1050,An Ninject-based automocker for Moq.,MoqBot,False,2015-06-05T11:09:58.63-07:00,True,False,,"IoC,mocking,testing,TDD",2615,False,1.3.2
s.bayat,2015-06-06T07:26:28.51Z,43209,1049,My package description.,RTL_nupkg,False,1899-12-31T16:00:00-08:00,False,False,,,-1,False,1.0.26
APPVYR-WIN20122\appveyor,2015-06-07T01:53:16.47Z,43209,1048,Created on 2015-06-07 01:53,OBeautifulCode.Math,False,1899-12-31T16:00:00-08:00,False,False,,,-1,False,1.0.4
eXpandFramework,2015-06-05T17:03:35.623Z,11,1050,"Creates dynamic persistent assemblies. The XAF user interface allows us to create an assembly without writing a single line of code. Advanced users can even use c# scripting and create new code generation templates. To debug in VS enable Source Server support under Tools/Options/Debugging. 
Blogs:
http://apobekiaris.blogspot.com/search/label/WorldCreator",eXpandWorldCreatorWeb,False,2018-04-09T16:26:20.077+00:00,True,False,Design runtime assemblies,"DevExpress,eXpand,XAF,eXpressApp",68681,False,14.2.7.2
"Robert Scaduto,Leo Hernandez",2015-06-05T17:13:46.79Z,975,1050,Common libraries for crux applications,Crux.Core,False,2015-08-19T09:01:36.887-07:00,True,False,,,2211,False,0.2.6
Wave Engine,2015-06-06T00:06:30.103Z,207,1049,WaveEngine.Common,WaveEngine.Common,False,2017-09-25T09:32:07.62+00:00,True,False,,,13883,False,0.1.0
Dariusz Nogacz,2015-06-06T21:11:24.35Z,43209,1049,The Innviero LogTracker library is a tool to help programmers create and track theirs logs in variety of ways.,Innviero.LogTracker,False,1899-12-31T16:00:00-08:00,False,False,,"Log,Logs,Tracking,Logger",2855,False,0.4.1
Tieson,2015-06-06T23:27:02.28Z,1044,1049,"Bailey.Web.Security provides Castle-compatible adapters over the Membership and Role providers. These providers will allow you to use dependency injection in your custom provders, and can also be used with the default providers.",Bailey.Web.Security,False,2015-06-10T18:59:24.877-07:00,True,False,Bailey.Web.Security provides Castle Windsor components for the Membership API.,"Membership,MembershipProvider,RoleProvider",829,False,1.0.0
Qsys Sverige AB,2015-06-06T20:22:32.877Z,60,1049,QuickPick One Database assembly server component,QuickPickOneCLR,False,2018-02-19T10:36:42.787+00:00,True,False,,"Apollo,Apollo13,Quickpick,Qsys",88457,False,1.0.15040.45
APPVYR-WIN20122\appveyor,2015-06-07T00:39:25.977Z,43209,1048,Created on 2015-06-07 00:39,OBeautifulCode.Collection,True,1899-12-31T16:00:00-08:00,False,False,,,-1,False,1.0.1-Cleanup
pbwebmaster,2015-06-05T19:21:00.517Z,1050,1050,"Styling for PetsBest, all located in one central place!",PBStyles,False,2015-06-05T13:02:19.067-07:00,True,False,,,662,False,1.0.0
Robert Smith,2015-06-07T03:25:15.913Z,697,1048,A .net client library that will allow you to interact with the orchestrate.io database,Orchestrate.NET,False,2016-05-23T10:55:38.353-07:00,True,False,.net client for Orchestrate.io,Orchestrate.io,2197,False,1.3.1
Grid Protection Alliance,2015-06-06T05:49:01.677Z,1,1049,Library for parsing E-MAX Director control and record data files used for transient data exchange,GSF.EMAX,True,2018-04-19T04:17:50.477+00:00,True,False,,"Transient,Data,Exchange,File,Format,Parser,E-MAX,Library",69096,False,2.1.75-beta
