authors,created,days_abandoned,days_alive,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
Codentia Ltd,2016-07-17T07:19:58.603Z,142,642,Codentia.Common.Membership.dll,Codentia.Common.Membership.dll,True,2017-11-29T14:28:12.293+00:00,True,False,,,94424,False,2.0.0-dev-20160717081951
Codentia Ltd,2016-07-17T07:18:51.39Z,619,642,Codentia.Common.Net.dll,Codentia.Common.Net.dll,True,2016-08-08T23:29:39.84-07:00,True,False,,,21263,False,2.0.0-dev-20160717081826
Mobile Essentials,2016-07-17T07:13:05.527Z,520,642,"Allows custom tasks to efficiently load and access
a Roslyn project for code generation or analysis. Multiple tasks, targets
and even projects will all share the same Workspace and loaded Projects,
thereby optimizing build times.

Usage:
In your custom task library, install the MSBuilder.Roslyn package, and just
use the two new provided extension methods for Task: GetWorkspace and GetOrAddProject.",MSBuilder.Roslyn,False,2016-11-16T12:45:47.737-08:00,True,False,,"MSBuild,Roslyn,CodeAnalysis,Compiler,CSharp,VB,VisualBasic,Emit,CodeGeneration,Compilation,Syntax,Semantics",1890,True,0.2.2
Vicki Lyn,2016-07-17T07:10:37.497Z,469,642,Sunpoin.Core,Sunpoin.Core,False,2017-01-06T15:15:19.963+00:00,True,False,Sunpoin.Core,"Sunpoin,Core",12535,False,1.0.1.3
suneelks,2016-07-17T07:09:28.033Z,61,642,Description,MatrimonyDB,False,2018-02-18T05:37:30.857+00:00,True,False,,,7139,False,1.0.5
Erich Yu,2016-07-17T07:06:19.49Z,170,642,A lightweight utility library.,PureLib,False,2017-11-01T03:06:19.7+00:00,True,False,,"Utility,WPF,Web",1826,False,2.1.6042.27137
Full Circle Solutions,2016-07-17T06:56:09.383Z,430,642,Sourcery for SauceLabs - Unlocking SauceLabs capability (Commercial product from fullcirclesolutions.com.au. Only $99.),Saucery3,False,2017-02-14T03:44:38.283-08:00,False,False,Sourcery for SauceLabs - Unlocking SauceLabs capability,"nunit,saucelabs,test,testing,tdd,framework,assert",13964,False,3.4.1
Full Circle Solutions,2016-07-17T07:03:06.89Z,430,642,Sourcery for SauceLabs - Unlocking SauceLabs capability (Commercial product from fullcirclesolutions.com.au. Only $99.),Saucery3,False,2017-02-14T03:44:38.283-08:00,True,False,Sourcery for SauceLabs - Unlocking SauceLabs capability,"nunit,saucelabs,test,testing,tdd,framework,assert",13964,False,3.4.2
Full Circle Solutions,2016-07-17T06:56:09.383Z,430,642,Sourcery for SauceLabs - Unlocking SauceLabs capability (Commercial product from fullcirclesolutions.com.au. Only $99.),Saucery3,False,2017-02-14T03:44:38.283-08:00,True,False,Sourcery for SauceLabs - Unlocking SauceLabs capability,"nunit,saucelabs,test,testing,tdd,framework,assert",13964,False,3.4.1
Mobile Essentials,2016-07-17T06:41:05.933Z,520,642,"Allows custom tasks to efficiently load and access
a Roslyn project for code generation or analysis. Multiple tasks, targets
and even projects will all share the same Workspace and loaded Projects,
thereby optimizing build times.

Usage:
In your custom task library, install the MSBuilder.Roslyn package, and just
use the two new provided extension methods for Task: GetWorkspace and GetOrAddProject.",MSBuilder.Roslyn,False,2016-11-16T12:45:47.737-08:00,True,False,,"MSBuild,Roslyn,CodeAnalysis,Compiler,CSharp,VB,VisualBasic,Emit,CodeGeneration,Compilation,Syntax,Semantics",1890,True,0.2.1
Codentia Ltd,2016-07-17T06:35:24.21Z,142,642,Codentia.Common.WebControls.dll,Codentia.Common.WebControls.dll,True,2017-11-29T03:27:07.617+00:00,True,False,,,79652,False,3.0.0-dev-20160717073506
ComicSansTheFont (Jacob Ebey),2016-07-17T06:03:20.76Z,43209,642,"An awesome, simple library to help you abstract your data services and mocking data for quick project starts.",DataNet.Android,False,1899-12-31T16:00:00-08:00,False,False,"An awesome, simple library to help you abstract your data services and mocking data for quick project starts.","DataNet,Net,Data,Mock,Jacob,Ebey,Android",-1,False,1.2.3
SplitIce,2016-07-17T06:19:57.93Z,201,642,IPTables .Net Manipulation Interface,IPTables.Net,True,2017-10-01T09:14:47.38+00:00,True,False,,,33257,False,0.3.8-cibuild0012
Danial Manavi (dmanavi),2016-07-17T06:15:06.473Z,642,642,Search infrastrucure of the Barzin framework,Delecs.BarzinFramework.Infrastructure.Search,False,2016-07-16T23:15:06.473-07:00,True,False,,,176,False,1.0.0
Codentia Ltd,2016-07-17T06:12:55.79Z,142,642,Codentia.Common.WebControls.dll,Codentia.Common.WebControls.dll,True,2017-11-29T03:27:07.617+00:00,True,False,,,79652,False,3.0.0-dev-20160717071247
Codentia Ltd,2016-07-17T06:06:46.48Z,142,642,Codentia.Common.Membership.dll,Codentia.Common.Membership.dll,True,2017-11-29T14:28:12.293+00:00,True,False,,,94424,False,2.0.0-dev-20160717070638
Codentia Ltd,2016-07-17T06:05:51.167Z,142,642,Codentia.Common.Logging.dll,Codentia.Common.Logging.dll,True,2017-11-29T03:24:24.21+00:00,True,False,,,61888,False,3.0.0-dev-20160717070532
ComicSansTheFont (Jacob Ebey),2016-07-17T06:03:20.76Z,43209,642,"An awesome, simple library to help you abstract your data services and mocking data for quick project starts.",DataNet.Android,False,1899-12-31T16:00:00-08:00,False,False,"An awesome, simple library to help you abstract your data services and mocking data for quick project starts.","DataNet,Net,Data,Mock,Jacob,Ebey,Android",-1,False,1.2.3
ComicSansTheFont (Jacob Ebey),2016-07-17T06:02:08.907Z,642,642,"An awesome, simple library to help you abstract your data services and mocking data for quick project starts.",DataNet,False,2016-07-17T17:23:08.303+00:00,True,False,"An awesome, simple library to help you abstract your data services and mocking data for quick project starts.","DataNet,Net,Data,Mock,Jacob,Ebey",1347,False,1.2.3
ComicSansTheFont (Jacob Ebey),2016-07-17T05:50:08.943Z,642,642,"An awesome, simple library to help you abstract your data services and mocking data for quick project starts.",DataNet,False,2016-07-17T17:23:08.303+00:00,True,False,"An awesome, simple library to help you abstract your data services and mocking data for quick project starts.","DataNet,Net,Data,Mock,Jacob,Ebey",1347,False,1.2.2
ComicSansTheFont (Jacob Ebey),2016-07-17T05:49:36.787Z,43209,642,"An awesome, simple library to help you abstract your data services and mocking data for quick project starts.",DataNet.Android,False,1899-12-31T16:00:00-08:00,False,False,"An awesome, simple library to help you abstract your data services and mocking data for quick project starts.","DataNet,Net,Data,Mock,Jacob,Ebey,Android",-1,False,1.2.2
Codentia Ltd,2016-07-17T05:45:09.81Z,619,642,Codentia.Common.Net.dll,Codentia.Common.Net.dll,True,2016-08-08T23:29:39.84-07:00,True,False,,,21263,False,2.0.0-dev-20160717064456
ComicSansTheFont (Jacob Ebey),2016-07-17T05:41:13.457Z,43209,642,"An awesome, simple library to help you abstract your data services and mocking data for quick project starts.",DataNet.Android,False,1899-12-31T16:00:00-08:00,False,False,"An awesome, simple library to help you abstract your data services and mocking data for quick project starts.","DataNet,Net,Data,Mock,Jacob,Ebey,Android",-1,False,1.2.1
ComicSansTheFont (Jacob Ebey),2016-07-17T05:41:13.457Z,43209,642,"An awesome, simple library to help you abstract your data services and mocking data for quick project starts.",DataNet.Android,False,1899-12-31T16:00:00-08:00,False,False,"An awesome, simple library to help you abstract your data services and mocking data for quick project starts.","DataNet,Net,Data,Mock,Jacob,Ebey,Android",-1,False,1.2.1
ComicSansTheFont (Jacob Ebey),2016-07-17T05:40:37.01Z,642,642,"An awesome, simple library to help you abstract your data services and mocking data for quick project starts.",DataNet,False,2016-07-17T17:23:08.303+00:00,True,False,"An awesome, simple library to help you abstract your data services and mocking data for quick project starts.","DataNet,Net,Data,Mock,Jacob,Ebey",1347,False,1.2.1
ComicSansTheFont (Jacob Ebey),2016-07-17T05:26:30.13Z,642,642,"An awesome, simple library to help you abstract your data services and mocking data for quick project starts.",DataNet,False,2016-07-17T17:23:08.303+00:00,True,False,"An awesome, simple library to help you abstract your data services and mocking data for quick project starts.",DataNet.Nuget,1347,False,1.2.0
Codentia Ltd,2016-07-17T05:26:01.913Z,142,642,Codentia.Common.Config.dll,Codentia.Common.Config.dll,True,2017-11-29T14:25:01.68+00:00,True,False,,,60308,False,2.0.0-dev-20160717062556
Redpoint Games Pty Ltd,2016-07-17T05:25:20.21Z,43209,642,Create temporary sessions for users.,HiveMP.TemporarySession,False,1900-01-01T00:00:00+00:00,False,False,,,-1,False,1.4.3
The Fr8 Company,2016-07-17T05:18:10.093Z,43209,642,A set of classes to help developers easily start developing their Fr8 terminals.,Fr8.TerminalBase,True,1899-12-31T16:00:00-08:00,False,False,,,53899,False,1.0.2.12680-dev
Codentia Ltd,2016-07-17T04:59:29.687Z,142,642,Codentia.Common.WebControls.dll,Codentia.Common.WebControls.dll,True,2017-11-29T03:27:07.617+00:00,True,False,,,79652,False,3.0.0-dev-20160717055919
江苏初码信息科技有限公司,2016-07-17T04:58:17.067Z,625,642,AlphaMS开发库-业务逻辑服务辅助库,AlphaMS.Dev.BLService,False,2016-08-02T23:23:37.943-07:00,True,False,,,896,False,0.0.1
biks,2016-07-17T04:53:51.327Z,553,642,simple WebApi utility,bUtility.WebApi,False,2016-10-14T14:49:21.81-07:00,True,False,,"biks,webApi,utility",3011,False,0.0.0.10
Codentia Ltd,2016-07-17T04:51:54.15Z,619,642,Codentia.Common.Net.dll,Codentia.Common.Net.dll,True,2016-08-08T23:29:39.84-07:00,True,False,,,21263,False,2.0.0-dev-20160717055141
The Fr8 Company,2016-07-17T04:36:52.26Z,43209,642,A set of classes to help developers easily start developing their Fr8 terminals.,Fr8.TerminalBase,True,1899-12-31T16:00:00-08:00,False,False,,,53899,False,1.0.2.12677-dev
Codentia Ltd,2016-07-17T04:35:48.49Z,142,642,Codentia.Common.Membership.dll,Codentia.Common.Membership.dll,True,2017-11-29T14:28:12.293+00:00,True,False,,,94424,False,2.0.0-dev-20160717053520
cjlee,2016-07-17T04:31:28.557Z,43209,642,[This is not an official package],librealsense,True,1899-12-31T16:00:00-08:00,False,False,"Cross-platform camera capture for Intel® RealSense™ F200, SR300 and R200 [This is not an official package]",,327,False,0.9.2-pre
biks,2016-07-17T04:31:19.277Z,553,642,simple WebApi utility,bUtility.WebApi,False,2016-10-14T14:49:21.81-07:00,True,False,,"biks,webApi,utility",3011,False,0.0.0.9
Newtonsoft,2016-06-06T04:59:46.927Z,28,683,Json.NET Schema is a complete and easy-to-use JSON Schema framework for .NET,Newtonsoft.Json.Schema,True,2018-03-23T20:27:04.123+00:00,False,False,,"json,schema,jsonschema",773673,True,2.0.3-beta1
Newtonsoft,2016-07-17T04:15:41.49Z,28,642,Json.NET Schema is a complete and easy-to-use JSON Schema framework for .NET,Newtonsoft.Json.Schema,False,2018-03-23T20:27:04.123+00:00,True,False,,"json,schema,jsonschema",773673,True,2.0.4
Chillisoft,2016-07-17T04:02:52.893Z,365,642,Habanero.Binding,Habanero.Binding,True,2017-04-20T04:02:51.37+00:00,True,False,,,144869,False,1.2.2291-prerelease
Chillisoft,2016-07-17T04:03:11.21Z,365,642,Habanero.Smooth,Habanero.Smooth,True,2017-04-20T04:03:20.277+00:00,True,False,,,160445,False,3.9.825-prerelease
Chillisoft,2016-07-17T04:02:53.04Z,365,642,Habanero.Testability,Habanero.Testability,True,2017-04-19T21:02:28.027-07:00,True,False,,,160014,False,3.9.825-prerelease
Chillisoft,2016-07-17T04:02:54.05Z,365,642,Habanero.Faces,Habanero.Faces,True,2017-04-19T21:02:45.06-07:00,True,False,,,165609,False,3.9.825-prerelease
