authors,created,days_abandoned,days_alive,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
Tom Pallister,2018-03-04T10:06:53.53Z,2,47,This project is aimed at people using .NET running a micro services / service orientated architecture that need a unified point of entry into their system. In particular I want easy integration with IdentityServer reference and bearer tokens. We have been unable to find this in my current workplace without having to write our own Javascript middlewares to handle the IdentityServer reference tokens. We would rather use the IdentityServer code that already exists to do this. Ocelot is a bunch of middlewares in a specific order. Ocelot manipulates the HttpRequest object into a state specified by its configuration until it reaches a request builder middleware where it creates a HttpRequestMessage object which is used to make a request to a downstream service. The middleware that makes the request is the last thing in the Ocelot pipeline. It does not call the next middleware. The response from the downstream service is stored in a per request scoped repository and retrived as the requests goes back up the Ocelot pipeline. There is a piece of middleware that maps the HttpResponseMessage onto the HttpResponse object and that is returned to the client. That is basically it with a bunch of other features.,Ocelot,True,2018-04-18T19:42:30.527+00:00,True,False,,"API,Gateway,.NET,core",26760,False,3.2.0-unstable0037
taghelper.net,2018-03-04T10:07:03.653Z,8,47,Using TagHelperNet to help you develop projects quickly.,TagHelperNet,False,2018-04-12T05:34:00.377+00:00,True,False,,,433,False,1.0.3.5
Vertica A/S,2018-03-01T06:09:52.92Z,63,50,Package that contains Azure specific extensions/implementations for Integration platform.,Vertica.Integration.Azure,False,2018-02-16T13:52:12.587+00:00,False,False,,"Vertica,Integration,Service,IntegrationService,Azure",2756,False,1.22.0
Vertica A/S,2018-03-01T06:10:05.797Z,63,50,Library that allows you to host Vertica Integration Service in a Console Application.,Vertica.Integration.ConsoleHost,False,2018-02-16T13:52:24.99+00:00,False,False,,"Vertica,Integration,Service,IntegrationService,Console,Application,Host",3782,False,1.17.0
Vertica A/S,2018-03-01T06:10:17.873Z,43209,50,Provides integration to Elasticsearch,Vertica.Integration.Elasticsearch,False,1900-01-01T00:00:00+00:00,False,False,,"Vertica,Integration,Service,IntegrationService,Elasticsearch",2436,False,1.22.0
Vertica A/S,2018-03-01T06:10:32.7Z,63,50,Provides integration to Mandrill - Transactional Email from Mailchimp,Vertica.Integration.Emails.Mandrill,False,2018-02-16T13:52:54.71+00:00,False,False,,"Vertica,Integration,Service,IntegrationService,Mandrill,Mailchimp,Transactional,Email",515,False,1.3.0
Vertica A/S,2018-03-01T06:10:46.263Z,63,50,Provides integration to SendGrid - Transactional Email from Mailchimp,Vertica.Integration.Emails.SendGrid,False,2018-02-16T13:53:09.21+00:00,False,False,,"Vertica,Integration,Service,IntegrationService,SendGrid,Transactional,Email",464,False,1.2.0
Tom Pallister,2018-03-04T10:06:53.53Z,2,47,This project is aimed at people using .NET running a micro services / service orientated architecture that need a unified point of entry into their system. In particular I want easy integration with IdentityServer reference and bearer tokens. We have been unable to find this in my current workplace without having to write our own Javascript middlewares to handle the IdentityServer reference tokens. We would rather use the IdentityServer code that already exists to do this. Ocelot is a bunch of middlewares in a specific order. Ocelot manipulates the HttpRequest object into a state specified by its configuration until it reaches a request builder middleware where it creates a HttpRequestMessage object which is used to make a request to a downstream service. The middleware that makes the request is the last thing in the Ocelot pipeline. It does not call the next middleware. The response from the downstream service is stored in a per request scoped repository and retrived as the requests goes back up the Ocelot pipeline. There is a piece of middleware that maps the HttpResponseMessage onto the HttpResponse object and that is returned to the client. That is basically it with a bunch of other features.,Ocelot,True,2018-04-18T19:42:30.527+00:00,True,False,,"API,Gateway,.NET,core",26760,False,3.2.0-unstable0037
taghelper.net,2018-03-04T10:07:03.653Z,8,47,Using TagHelperNet to help you develop projects quickly.,TagHelperNet,False,2018-04-12T05:34:00.377+00:00,True,False,,,433,False,1.0.3.5
PXL,2018-03-04T10:01:48.647Z,37,47,Utilities to write unit tests and send the results to the Guts API,Guts.Client,False,2018-03-14T08:06:58.913+00:00,True,False,,"Guts,Unit,Test,Client",1136,False,1.0.10
