authors,created,days_abandoned,days_alive,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
"Sebastian Lange,Caio Proiete",2013-09-14T02:04:58.29Z,919,1679,"Core library for NetOffice, the .NET Wrapper Assemblies for accessing MS Office applications: Office, Excel, Word, Outlook, PowerPoint, Access, Project, Visio. This NuGet package targets the .NET Framework 3.0",NetOffice.Core.Net30,False,2015-10-13T19:47:13.323-07:00,True,False,NetOffice - MS Office in .NET Core Library for .NET 3.0,"netoffice,netoffice.core,office,excel,word,outlook,powerpoint,access,project,visio,interop,wrapper,.net30,vsto,excel-dna",1608,False,1.6.0
Andrew Hutchinson,2013-09-06T16:33:36.377Z,1687,1687,"An easy way to display twitter feeds and searches in any .net project, with one nuget command and 3 appsetting changes you have access to raw json or serialized c# objects. No need for 3rd party dlls.

Please see the following URL for instructions:
    https://github.com/andyhutch77/oauthtwitterwrapper.",oAuthTwitterWrapper,False,2013-09-06T09:33:36.41-07:00,True,False,,"Twitter,TwitterFeed",4542,False,1.0.2
Casey Watson,2013-09-25T15:17:18.827Z,43209,1668,This library contains the base Mantle messaging components.,mantle-messaging,True,1899-12-31T16:00:00-08:00,False,False,,"Cloud,Mantle,Messaging",1599,False,1.0.3-beta
Krekkon,2013-09-02T09:31:42.957Z,43209,1691,NoDescription,Test1,False,1899-12-31T16:00:00-08:00,False,False,,MasterTest,-1,False,1.0.7
Gregor Pacnik,2013-09-04T13:19:20.04Z,1269,1689,Yet Another Logging Framework.,Yalf,False,2014-10-29T05:11:39.273-07:00,True,False,,"Logging,Framework,Stack",1781,False,0.6.5
vgaltes.com,2015-02-07T16:24:27.72Z,1167,1168,A tiny testing library for your StructureMap container.,IoCTesting.StructureMap,False,2015-02-08T09:50:52.99-08:00,True,False,,"Dependency_Injection,Inversion_of_Control,Testing,StructureMap",596,False,1.0.0
"Sebastian Lange,Caio Proiete",2013-09-14T03:02:08.573Z,916,1679,"NetOffice PowerPoint API, the .NET Wrapper Assemblies for accessing MS Office PowerPoint. This NuGet package targets the .NET Framework 4.0",NetOffice.PowerPoint.Net40,False,2015-10-17T06:40:41.54-07:00,True,False,NetOffice - MS Office in .NET PowerPoint Library for .NET 4.0,"netoffice,netoffice.powerpoint,office,powerpoint,interop,wrapper,.net40,vsto",1583,False,1.6.0
bryan.arendt,2015-02-07T14:41:53.28Z,43209,1168,This installs the Scaffold Configuration,OrangeOnion.Scaffold,False,1899-12-31T16:00:00-08:00,False,False,,,-1,False,1.0.10
Darko Micic,2013-09-08T11:12:29.907Z,1685,1685,Extension for Data Annotations. Enables partial model validation.,DataAnnotations.PartialValidation,False,2013-09-08T04:12:29.907-07:00,True,False,See project URL for more information.,"dataannotations,validation,partialvalidation",636,False,1.0.0
Bartosz Solarski,2013-09-10T13:44:47.317Z,1428,1683,Description,NCodeFactory.Toolkit.Mvvm.Wpf.Mui,False,2014-05-23T02:36:42.327-07:00,True,False,,,4811,False,1.0.0
The Furry Monk,2013-09-13T07:20:08.85Z,43209,1680,This is the SQLite database file used by FileSage. This does not include the FileSage package.,FileSageDb,False,1899-12-31T16:00:00-08:00,False,False,This is the SQLite database file used by FileSage.,"FileSage,MIME,MIMETypes,ContentTypes,Database",-1,False,0.1.0
Marko Lahma,2013-09-09T20:02:16.92Z,47,1684,Quartz.NET Scheduling Framework for .NET Platform,Quartz,False,2018-03-04T07:01:11.66+00:00,True,False,,,2650769,False,2.2.0
OrchestraDevs,2015-02-07T15:50:05.42Z,4,1168,This library allows the user to create resources on a local computer and forward these to the help desk for analysis.,Orc.SupportPackage,True,2018-04-16T11:52:05.773+00:00,True,False,,"orc,support,package",4519,True,0.2.0-unstable0022
