authors,created,days_abandoned,days_alive,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
Paket team,2015-11-05T17:31:57.407Z,2,897,A package dependency manager for .NET with support for NuGet packages and GitHub repositories.,Paket,False,2018-04-18T10:23:50.3+00:00,True,False,A package dependency manager for .NET with support for NuGet packages and GitHub repositories.,"nuget,bundler,F#",834968,False,2.22.2
APPVYR-WIN20122\appveyor,2015-11-05T13:43:45.78Z,43209,897,Created on 2015-11-05 13:43,Naos.MessageBus.HandlingContract,False,1899-12-31T16:00:00-08:00,False,False,,,19043,False,1.0.111
刘宁,2015-09-08T05:32:35.21Z,43209,955,Package description,SurfaceAd.WP8dot1.dll,False,1899-12-31T16:00:00-08:00,False,False,,"Tag1,Tag2",-1,False,1.0.0
"Frozen Elephant Inc.,Eric Schneider",2014-04-09T23:50:04.297Z,791,1472,"Feature summary:
.  Small and simple to use and understand.
.  Single file reference needed.
.  Full object hierarchy CRUD support. Saves all object properties and the relationships to related tables. Also supports collection properties.
.  Allows developers to write sql as needed for reads. The design just maps the results to the objects. Writes are tightly coupled to the database and build on primary key constraints.
.  No inheritance requirements, uses either interface implementation or attributes.
.  Allows developers to modify the relation sql to further optimize loading of children.
.  Sql Server bulk insert support.
.  Lazy initialization support, with child sql override.
.  Change trackng support to history tables.
.  Supported databases: Sql Server / Express / Local DB, My Sql, Sqlite, Oracle, PostgreSql.
. Built-in Performance tracking, implement IPerformanceTracking to allow performance tracking of all database actions.
. Optimistic concurrency support.
. No configuration files needed.
. Trace output of SQL statements and parameter values.
. Password one way hashing support.
. Field level encryption with auto decrypt upon load ability.
. Processing intercept support, BeforeInsert, BeforeUpdate, BeforeDelete, AfterLoad.",Symbiotic_x86,False,2016-02-19T05:51:33.403+00:00,True,False,"Stable, small, fast and simple to use micro ORM. Just add some attributes and begin loading, saving, updating hierarchical objects. You can choose to implement simple interfaces for more features.","SODA,Symbiotic,ORM,Micro-ORM,Sql,Server,MySql,Sqlite,Oracle,PostgreSql,Frozen,Elephant",4319,False,4.0.3
Paket team,2015-11-05T12:07:28.82Z,2,897,A package dependency manager for .NET with support for NuGet packages and GitHub repositories.,Paket,False,2018-04-18T10:23:50.3+00:00,True,False,A package dependency manager for .NET with support for NuGet packages and GitHub repositories.,"nuget,bundler,F#",834968,False,2.22.0
Murugamahinthan,2015-11-05T10:52:09.433Z,43209,897,This package is to be used only my MnS dev team.,MnS.PnP.ProvisionEngine,False,1899-12-31T16:00:00-08:00,False,False,This package includes the extraction of template from given sharepoint site and split that into folder structure.,,-1,False,1.0.1
Sumit Maingi,2015-11-05T11:29:14.7Z,893,897,"Plug into your code to get protoBuf serialization with no code changes in WCF and minimal changes in WebAPI. Increases throughput by upto 20x depending upon the size of the packet, bigger the packet more the benefit.",ProtoBuf.Services.WCF,False,2015-11-09T05:45:37.017+00:00,True,False,Adds the WCF specific assemblies for protobuf.services.,"protoBuf,WCF,WebAPI",1040,False,2.0.0
Cloud17,2015-11-05T15:12:24.877Z,38,897,Assembly contains functionality for WCF activation and services,Gaia.Core.Wcf.Services,False,2018-03-13T12:10:02.86+00:00,True,False,,,12729,False,0.2.1.9
"Florian Fordermaier,Florian Schinagl",2015-11-05T14:16:32.333Z,52,897,Reactive navigation for MVVM applications,F2F.ReactiveNavigation.Autofac,False,2018-02-27T23:20:17.63+00:00,True,False,Region-based navigation on top of ReactiveUI and some extra goodies,"rxnavi,rx,navigation,mvvm,reactiveui,f2f,autofac",3519,False,2.0.1
"Findwise AB,Magnus Månsson",2015-11-05T10:14:43.197Z,739,897,Description,Findwise.Common.Core,False,2016-04-11T01:11:39.04-07:00,True,False,,,16035,False,1.1.109
