authors,created,days_abandoned,days_alive,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
akarnokd,2017-06-29T12:53:29.143Z,219,295,ReactiveX style Reactive-Streams compliant library for composing synchronous and asynchronous sequences.,Reactive4.NET,False,2017-09-13T14:38:22.717+00:00,True,False,"Modern, 4th generation, Reactive-Streams compliant fluent reactive library based on RxJava 2.x Flowable API.","reactive,reactive-streams,rxjava",1952,False,0.2.7
Momentum,2017-06-29T12:53:52.1Z,4,295,Client for Momentum PM API,Momentum.Pm.Api,True,2018-04-16T03:00:31.727+00:00,True,False,,"Momentum,PM,Fastighetssystem",593830,False,5.11.5117-beta
CompuMaster GmbH,2017-06-29T12:44:25.157Z,42,295,camm Integration Portal (based on camm Web-Manager) for Web Applications,cammWM.Admin,False,2018-03-09T09:30:50.51+00:00,True,False,,"CompuMaster,camm,Integration,Portal,Web-Manager,Web,Manager,CIP,CWM,cammIPortal,IPortal",1596,False,4.12.2114.100
CompuMaster GmbH,2017-06-29T12:43:58.267Z,42,295,camm Integration Portal (based on camm Web-Manager) for Web Applications,cammWM,False,2018-03-09T09:30:28.807+00:00,True,False,,"CompuMaster,camm,Integration,Portal,Web-Manager,Web,Manager,CIP,CWM,cammIPortal,IPortal",2215,False,4.12.2114.100
Talent Agile,2017-06-29T12:43:29.373Z,295,295,Specflow plugin for using Runsettings parameters inside specflow tests,TalentAgile.Specflow.TestContextInjector,False,2017-06-29T05:43:29.373-07:00,True,False,,"specflow,mstests,runsettings,testcontext",5521,False,1.2.17180.2
Octopus Deploy,2017-05-31T05:45:00.137Z,190,324,Implements the OpenIDConnect authentication providers.,Octopus.Server.Extensibility.Authentication.OpenIDConnect,False,2017-10-12T05:37:12.957+00:00,False,False,Octopus Deploy OpenIDConnect authentication providers.,"automation,deployment",8010,False,3.0.0
Romiko Derbynew,2017-06-29T12:41:20.95Z,281,295,JWPlayer .NET Client for the JWPlayer Management API,JWPlayer.NET,False,2017-07-13T00:33:44.02+00:00,True,False,.NET JWPlayer API Management,JWPlayer,787,False,1.0.0
Talent Agile,2017-06-29T12:36:16.33Z,295,295,Specflow plugin for using Runsettings parameters inside specflow tests,TalentAgile.Specflow.TestContextInjector,False,2017-06-29T05:43:29.373-07:00,False,False,,"specflow,mstests,runsettings,testcontext",5521,False,1.2.17180.1
Lykke.JobTriggers,2017-06-29T12:36:30.36Z,16,295,Lykke.JobTriggers,Lykke.JobTriggers,False,2018-04-04T17:40:49.75+00:00,True,False,,,3782,False,1.1.9
Microsoft,2017-06-29T12:36:40.987Z,95,295,"This is MSTest V2, the evolution of Microsoft's Test Framework.

	Supported platforms:
	- .NET 4.5.0+
	- .NET Core 1.0+ (Universal Windows Apps 10+, DNX Core 5+)
	- ASP.NET Core 1.0+

	To discover and execute tests install MSTest.TestAdapter. 

  To discover and execute tests for project.json based projects install dotnet-test-mstest.",MSTest.TestFramework,True,2018-01-15T14:01:14.097+00:00,True,False,"This is MSTest V2, the evolution of Microsoft's Test Framework.","MSTest,TestFramework,Unittest,MSTestV2,Microsoft,Test,Testing,TDD,Framework",4871170,True,1.2.0-beta
SKB Kontur,2017-06-29T12:36:40.83Z,2,295,Official Diadoc SDK,DiadocSDK,False,2018-04-18T07:21:34.993+00:00,True,False,,"diadoc,diadoc-api,diadoc-sdk,kontur,skbkontur",6803,False,1.44.1
Talent Agile,2017-06-29T12:36:16.33Z,295,295,Specflow plugin for using Runsettings parameters inside specflow tests,TalentAgile.Specflow.TestContextInjector,False,2017-06-29T05:43:29.373-07:00,False,False,,"specflow,mstests,runsettings,testcontext",5521,False,1.2.17180.1
,,-1,-1,,TwinCAT.Ads.NET,,,,True,,,,,4.1.31
Microsoft,2017-06-29T12:35:48.173Z,95,295,"The adapter to discover and execute MSTest Framework based tests. 

  Supported platforms: 
   - .NET 4.5.0+ 
   - .NET Core 1.0+ (Universal Windows Apps 10+) (Visual Studio 2017) 
   - ASP.NET Core 1.0+ (Visual Studio 2017)",MSTest.TestAdapter,True,2018-01-15T13:59:42.823+00:00,True,False,,"MSTest,TestFramework,TestAdapter,VisualStudio,Unittest,MSTestV2,Microsoft",4723077,True,1.2.0-beta
EC English,2017-06-29T12:34:42.983Z,1,295,Client library for api.ecenglish.com,EcEnglish.Api.Client,True,2018-04-19T16:12:31.53+00:00,True,False,,,31250,False,1.0.1936-return-useragent-ro
EC English,2017-06-29T12:34:55.67Z,1,295,Service contracts for the EC English API,EcEnglish.Api.ServiceContract,True,2018-04-19T16:12:47.28+00:00,True,False,,,31011,False,1.0.1936-return-useragent-ro
EC English,2017-06-29T12:35:07.467Z,1,295,Owin OAuth Client for EC English,EcEnglish.Owin.OAuth,True,2018-04-19T16:13:02.06+00:00,True,False,,,30433,False,1.0.1936-return-useragent-ro
NarendraJangir,2017-06-29T12:28:43.53Z,295,295,This package only includes sum.,NugetCSharpSample,False,2017-06-29T06:17:14.49-07:00,True,False,,"Calculator,NarendraJangir",266,False,1.0.0
Realm,2017-06-29T12:29:26.487Z,240,295,An auxiliary package that allows you to create observable grouped collections from Realm models.,Realm.GroupedCollection,False,2017-08-23T11:43:37.947+00:00,True,False,,"Realm,database,xamarin,forms,listview",1962,False,0.0.3
NugetCSharpSample,2017-06-29T12:28:43.53Z,295,295,Package Description,NugetCSharpSample,False,2017-06-29T06:17:14.49-07:00,True,False,,,266,False,1.0.0
Denis Voituron,2017-06-29T12:24:45.993Z,277,295,"This SSRS ReportViewer library is a standalone WPF library helping developers to display, save and print, local or remote SQL Server Reports.",Apps72.Dev.Ssrs.ReportViewer,False,2017-07-17T04:54:26.18-07:00,True,False,"This SSRS ReportViewer library is a standalone WPF library helping developers to display, save and print, local or remote SQL Server Reports.","SSRS,Report,Reporting,SQLServer,WPF",1259,False,1.2.0
Peter Varga,2017-06-29T12:25:16.167Z,141,295,ClubArcada.Common,ClubArcada.Common,False,2017-11-30T01:33:05.79+00:00,True,False,,ClubArcada.Common,19478,False,4.0.53
HiQPdf Software,2017-05-27T16:01:05.88Z,244,328,"HiQPdf HTML to PDF Converter for .NET offers you a modern, simple, fast, flexible and powerful tool to create complex and stylish PDF documents in your ASP.NET and MVC websites or in your desktop applications with just a few lines of C# or VB.NET code.

HiQPdf Library for .NET can run both on 32-bit and 64-bit systems. When you convert very large HTML documents it is recommended to use the special package for x64-based systems.

Using the high quality HTML to PDF conversion engine you can easily design a document in HTML with CSS3, JavaScript, SVG or Canvas and then convert it to PDF preserving the exact content and style.

HiQPdf Library for .NET offers you the fastest and the most precise HTML to PDF conversion technology to use in your Web and Desktop applications. The HTML to PDF Converter can convert to PDF any HTML document or URL that a modern browser can display, preserving all the CSS styles and executing all the JavaScript scripts found in the HTML document.

Besides the common features a HTML to PDF Converter must have, the HiQPdf component has some unique features on the market like the full support for web fonts, the ability to convert only a selected region of the HTML document or the possibility to overlap multiple HTML documents in the same PDF while preserving the transparent backgrounds and images from the HTML document.

HiQPdf Library is much more than just a HTML to PDF converter. The HTML to PDF conversion engine is the most important feature, but the HiQPdf software is a complete PDF library for .NET that you can use to create new PDF documents and add text and images at the desired positions in pages in a traditional manner, open and edit external PDF documents by adding new objects, create PDF documents with interactive forms, fill and submit interactive forms, merge and split PDF documents, extract text and images from PDF documents, search text in PDF documents, rasterize PDF pages to images, convert PDF to HTML or print PDF documents.",hiqpdf,False,2017-08-19T11:55:58.87+00:00,False,False,"HiQPdf HTML to PDF Converter for .NET offers you a modern, simple, fast, flexible and powerful tool to create complex and stylish PDF documents in .NET applications with just a few lines of C# code.","html,pdf,c#,vb.net,converter,library,.net,html-to-pdf,pdf-library",107460,False,10.10.0
HiQPdf Software,2017-05-27T16:09:48.95Z,244,328,"HiQPdf Free HTML to PDF Converter Library for .NET and C# is the limited free version of the fully featured HiQPdf Library for .NET from http://www.hiqpdf.com . With Free HTML to PDF Converter Library for .NET you can create maximum 3 PDF pages of high quality content for free. 

If you want to create larger unlimited PDF documents or you if you need advanced features like live URLs, internal links, outlines, table of contents, headers and footers, PDF forms, edit, merge and split PDF documents, extract text and images from PDF or PDF pages rasterization you can use the full version of the software. 

With HiQPdf Free HTML to PDF Converter Library for .NET you to create PDF documents directly from HTML pages in your ASP.NET and MVC Websites, Desktop Applications and Services. You can use the free library in .NET 4.0 and later applications, in C# and VB.NET languages, on 32-bit and 64-bit Windows machines.

The Free HTML to PDF Converter for .NET offers you the fastest and the most precise HTML to PDF conversion technology you can use in your .NET applications. The library can convert any HTML document to PDF preserving all the CSS styles and executing all the JavaScript scripts found in the HTML document.

The Free HTML to PDF Converter can render HTML documents with last generation content like SVG, Web Fonts and CSS3 styles. The JavaScript engine is fast and can easily handle complex scripts allowing you to use the latest powerful JavaScript libraries existing on market.

HiQPdf Free HTML to PDF Converter for .NET can convert HTML documents using Web Fonts which are a great tool for web designers to create special effects on text in a HTML document. The Web Fonts are downloaded on the fly by converter and used to render the HTML document to PDF without installing those fonts on the local machine.

HiQPdf Software does not depend on installed browsers, printer drivers, viewers or any other third party software.",hiqpdf.free,False,2017-08-19T11:50:30.717+00:00,False,False,HiQPdf Free HTML to PDF Converter for .NET and C# is a limited free version of the fully featured HiQPdf Library for .NET  from http://www.hiqpdf.com .,"free,html,pdf,c#,vb.net,converter,library,.net,html-to-pdf,pdf-library",16940,False,10.10.0
HiQPdf Software,2017-05-27T16:04:36.1Z,244,328,"HiQPdf HTML to PDF Converter for .NET offers you a modern, simple, fast, flexible and powerful tool to create complex and stylish PDF documents in your ASP.NET and MVC websites or in your desktop applications with just a few lines of C# or VB.NET code.

This x64 version of HiQPdf Library for .NET can run only on 64-bit systems and it is recommended when converting very large HTML documents to PDF. The normal version of the library can run both on 32-bit and 64-bit systems.

With HiQPdf HTML to PDF conversion engine you can design a document in HTML with CSS3, JavaScript, SVG or Canvas and then convert it to PDF preserving the exact content and style.

HiQPdf Library for .NET offers you the fastest and the most precise HTML to PDF conversion technology to use in your Web and Desktop applications. The HTML to PDF Converter can convert to PDF any HTML document or URL that a modern browser can display, preserving all the CSS styles and executing all the JavaScript scripts found in the HTML document.

Besides the common features a HTML to PDF Converter must have, the HiQPdf component has some unique features on the market like the full support for web fonts, the ability to convert only a selected region of the HTML document or the possibility to overlap multiple HTML documents in the same PDF while preserving the transparent backgrounds and images from the HTML document.

The HiQPdf Library is much more than just a HTML to PDF converter, is a complete PDF library for .NET that you can use to create new PDF documents and add text and images at the desired positions in pages in a traditional manner, open and edit external PDF documents by adding new objects, create PDF documents with interactive forms, fill and submit interactive forms, merge and split PDF documents, extract text and images from PDF documents, search text in PDF documents, rasterize PDF pages to images, convert PDF to HTML or print PDF documents.",hiqpdf_x64,False,2017-08-19T11:58:28.39+00:00,False,False,"HiQPdf HTML to PDF Converter for .NET offers you a modern, fast, flexible and powerful tool to create complex and stylish PDF documents in .NET applications with just a few lines of C# code.","html,pdf,c#,vb.net,converter,library,.net,html-to-pdf,pdf-library",10620,False,10.10.0
HiQPdf Software,2017-06-29T12:22:57.363Z,244,295,"HiQPdf Free HTML to PDF Converter Library for .NET and C# is the limited free version of the fully featured HiQPdf Library for .NET from http://www.hiqpdf.com . With Free HTML to PDF Converter Library for .NET you can create maximum 3 PDF pages of high quality content for free. 

If you want to create larger unlimited PDF documents or you if you need advanced features like live URLs, internal links, outlines, table of contents, headers and footers, PDF forms, edit, merge and split PDF documents, extract text and images from PDF or PDF pages rasterization you can use the full version of the software. 

With HiQPdf Free HTML to PDF Converter Library for .NET you to create PDF documents directly from HTML pages in your ASP.NET and MVC Websites, Desktop Applications and Services. You can use the free library in .NET 4.0 and later applications, in C# and VB.NET languages, on 32-bit and 64-bit Windows machines.

The Free HTML to PDF Converter for .NET offers you the fastest and the most precise HTML to PDF conversion technology you can use in your .NET applications. The library can convert any HTML document to PDF preserving all the CSS styles and executing all the JavaScript scripts found in the HTML document.

The Free HTML to PDF Converter can render HTML documents with last generation content like SVG, Web Fonts and CSS3 styles. The JavaScript engine is fast and can easily handle complex scripts allowing you to use the latest powerful JavaScript libraries existing on market.

HiQPdf Free HTML to PDF Converter for .NET can convert HTML documents using Web Fonts which are a great tool for web designers to create special effects on text in a HTML document. The Web Fonts are downloaded on the fly by converter and used to render the HTML document to PDF without installing those fonts on the local machine.

HiQPdf Software does not depend on installed browsers, printer drivers, viewers or any other third party software.",hiqpdf.free,False,2017-08-19T11:50:30.717+00:00,True,False,HiQPdf Free HTML to PDF Converter for .NET and C# is a limited free version of the fully featured HiQPdf Library for .NET  from http://www.hiqpdf.com .,"free,html,pdf,to,c#,vb.net,converter,library,.net,html-to-pdf,pdf-library",16940,False,10.11.0
OhDotNetLib,2017-06-29T12:22:58.177Z,286,295,OceanHo's dotnet common library,OhDotNetLib,True,2017-07-07T21:57:52.6-07:00,True,False,,,2165,False,2.1.3-Alpha
HiQPdf Software,2017-06-29T12:19:56.327Z,244,295,"HiQPdf HTML to PDF Converter for .NET offers you a modern, simple, fast, flexible and powerful tool to create complex and stylish PDF documents in your ASP.NET and MVC websites or in your desktop applications with just a few lines of C# or VB.NET code.

This x64 version of HiQPdf Library for .NET can run only on 64-bit systems and it is recommended when converting very large HTML documents to PDF. The normal version of the library can run both on 32-bit and 64-bit systems.

With HiQPdf HTML to PDF conversion engine you can design a document in HTML with CSS3, JavaScript, SVG or Canvas and then convert it to PDF preserving the exact content and style.

HiQPdf Library for .NET offers you the fastest and the most precise HTML to PDF conversion technology to use in your Web and Desktop applications. The HTML to PDF Converter can convert to PDF any HTML document or URL that a modern browser can display, preserving all the CSS styles and executing all the JavaScript scripts found in the HTML document.

Besides the common features a HTML to PDF Converter must have, the HiQPdf component has some unique features on the market like the full support for web fonts, the ability to convert only a selected region of the HTML document or the possibility to overlap multiple HTML documents in the same PDF while preserving the transparent backgrounds and images from the HTML document.

The HiQPdf Library is much more than just a HTML to PDF converter, is a complete PDF library for .NET that you can use to create new PDF documents and add text and images at the desired positions in pages in a traditional manner, open and edit external PDF documents by adding new objects, create PDF documents with interactive forms, fill and submit interactive forms, merge and split PDF documents, extract text and images from PDF documents, search text in PDF documents, rasterize PDF pages to images, convert PDF to HTML or print PDF documents.",hiqpdf_x64,False,2017-08-19T11:58:28.39+00:00,True,False,"HiQPdf HTML to PDF Converter for .NET offers you a modern, fast, flexible and powerful tool to create complex and stylish PDF documents in .NET applications with just a few lines of C# code.","html,pdf,to,c#,vb.net,converter,library,.net,html-to-pdf,pdf-library",10620,False,10.11.0
Thargelion AB,2017-06-29T12:17:14.383Z,94,295,Tharga Console Log4Net is an appender for Tharga Console.,Tharga.Toolkit.Console.Log4Net,False,2018-01-16T08:50:07.183+00:00,True,False,,"log4net,console,log",1432,False,2.0.39
Thargelion AB,2017-06-29T12:17:02.557Z,94,295,Tharga Console is used to simplify construction of advanced console applications.,Tharga.Toolkit.Console,False,2018-01-16T08:49:51.9+00:00,True,False,,"console,poc,posh,powershell",10724,False,2.0.39
HiQPdf Software,2017-06-29T12:15:56.85Z,244,295,"HiQPdf HTML to PDF Converter for .NET offers you a modern, simple, fast, flexible and powerful tool to create complex and stylish PDF documents in your ASP.NET and MVC websites or in your desktop applications with just a few lines of C# or VB.NET code.

HiQPdf Library for .NET can run both on 32-bit and 64-bit systems. When you convert very large HTML documents it is recommended to use the special package for x64-based systems.

Using the high quality HTML to PDF conversion engine you can easily design a document in HTML with CSS3, JavaScript, SVG or Canvas and then convert it to PDF preserving the exact content and style.

HiQPdf Library for .NET offers you the fastest and the most precise HTML to PDF conversion technology to use in your Web and Desktop applications. The HTML to PDF Converter can convert to PDF any HTML document or URL that a modern browser can display, preserving all the CSS styles and executing all the JavaScript scripts found in the HTML document.

Besides the common features a HTML to PDF Converter must have, the HiQPdf component has some unique features on the market like the full support for web fonts, the ability to convert only a selected region of the HTML document or the possibility to overlap multiple HTML documents in the same PDF while preserving the transparent backgrounds and images from the HTML document.

HiQPdf Library is much more than just a HTML to PDF converter. The HTML to PDF conversion engine is the most important feature, but the HiQPdf software is a complete PDF library for .NET that you can use to create new PDF documents and add text and images at the desired positions in pages in a traditional manner, open and edit external PDF documents by adding new objects, create PDF documents with interactive forms, fill and submit interactive forms, merge and split PDF documents, extract text and images from PDF documents, search text in PDF documents, rasterize PDF pages to images, convert PDF to HTML or print PDF documents.",hiqpdf,False,2017-08-19T11:55:58.87+00:00,True,False,"HiQPdf HTML to PDF Converter for .NET offers you a modern, simple, fast, flexible and powerful tool to create complex and stylish PDF documents in .NET applications with just a few lines of C# code.","html,pdf,to,c#,vb.net,converter,library,.net,html-to-pdf,pdf-library",107460,False,10.11.0
Thargelion AB,2017-06-29T12:12:37.593Z,94,295,Tharga Console is used to simplify construction of advanced console applications.,Tharga.Toolkit.Console,False,2018-01-16T08:49:51.9+00:00,True,False,,"console,poc,posh,powershell",10724,False,2.0.38
Thargelion AB,2017-06-29T12:12:49.267Z,94,295,Tharga Console Log4Net is an appender for Tharga Console.,Tharga.Toolkit.Console.Log4Net,False,2018-01-16T08:50:07.183+00:00,True,False,,"log4net,console,log",1432,False,2.0.38
Robert Meakin,2017-06-29T12:10:12.543Z,276,295,An easy to use library that helps developers of .NET Core mvc/webapi applications create and use access and refresh tokens for authentication.,Argonaught,True,2017-07-18T03:49:44.29-07:00,True,False,,,324,False,1.0.1-beta
金银猫金融服务有限公司,2017-06-29T12:09:12.587Z,262,295,Tirisfal Dto,JYM.BusinessProcesses.Dtos,False,2017-08-01T00:00:46.12+00:00,True,False,,,2804,False,1.0.0.2
matthewsteeples,2017-06-29T12:07:20.663Z,295,295,Library to automatically batch saving and loading of Azure Table Entities,Ledgerscope.AzureUtils,False,2017-06-29T05:07:20.663-07:00,True,False,Library to automatically batch saving and loading of Azure Table Entities,,16308,False,0.2.0.5
"Yevhen Bobrov,Anton Moldovan",2017-06-29T12:06:34.613Z,17,295,Functional API for MSR Orleans. Core and client-side library,Orleankka,False,2018-04-03T15:08:12.69+00:00,True,False,,"Orleans,distributed,messaging,actor,concurrency,CQRS",14948,False,1.0.1
"Yevhen Bobrov,Anton Moldovan",2017-06-29T12:07:01.147Z,17,295,Functional API for MSR Orleans. Server-side library,Orleankka.Runtime,False,2018-04-03T15:08:28.817+00:00,True,False,,"Orleans,distributed,messaging,actor,concurrency,CQRS",4329,False,1.0.1
Yevhen Bobrov,2017-06-29T12:07:23.413Z,17,295,Unit testing kit for Orleankka. Allows to unit test actors in a full isolation without the need to spawn full blown integration silo.,Orleankka.TestKit,False,2018-04-03T15:08:45.207+00:00,True,False,,"Orleans,Akka,distributed,messaging,actor,concurrency,CQRS,unit,testing,mock",12203,False,1.0.1
Nicky Liu,2017-06-29T12:06:28.02Z,274,295,Nicky Liu's nuget library.,NickyLiuNuGetLibrary,False,2017-07-20T03:48:26.04+00:00,True,False,,,1017,False,1.0.7
Bernhard Richter,2017-06-29T12:03:47.28Z,284,295,A simple C# script runner for .Net Core with debug and NuGet support.,csx,True,2017-07-10T10:54:43.32-07:00,True,False,C# Script Runner for .Net Core.,"CSharp,Scripting,.NetCore",1407,False,2.0.0-beta1
Lykke.Service.SeoReports,2017-06-29T12:00:45.697Z,295,295,Package Description,Lykke.Service.SeoReports,False,2017-06-29T05:00:45.697-07:00,True,False,,,2603,False,1.0.13
