authors,created,days_abandoned,days_alive,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
David Eiwen,2016-06-24T02:16:46.333Z,456,665,A cross-platform extension to the default set of collections in the System.Collections namespace providing generic array-based lists and dictionaries.,IndiePortable.Collections,False,2017-01-19T22:35:12.997+00:00,True,False,,,2937,False,0.1.4
feiin,2016-06-24T02:03:58.71Z,665,665,NRedisSessionProvider is a class library for persisting ASP.NET/MVC Session data to a Redis.,NRedisSessionProvider,False,2016-06-24T06:39:55.19+00:00,False,False,NRedisSessionProvider is a class library for persisting ASP.NET/MVC Session data to a Redis.,"Redis,RedisSession,SessionStateProvider",986,False,1.2.0
David Eiwen,2016-06-24T01:41:43.797Z,456,665,A cross-platform extension to the default set of collections in the System.Collections namespace providing generic array-based lists and dictionaries.,IndiePortable.Collections,False,2017-01-19T22:35:12.997+00:00,False,False,,,2937,False,0.1.3
David Eiwen,2016-06-24T02:16:46.333Z,456,665,A cross-platform extension to the default set of collections in the System.Collections namespace providing generic array-based lists and dictionaries.,IndiePortable.Collections,False,2017-01-19T22:35:12.997+00:00,True,False,,,2937,False,0.1.4
feiin,2016-06-24T02:16:51.39Z,665,665,NRedisSessionProvider is a class library for persisting ASP.NET/MVC Session data to a Redis.,NRedisSessionProvider,False,2016-06-24T06:39:55.19+00:00,True,False,NRedisSessionProvider is a class library for persisting ASP.NET/MVC Session data to a Redis.,"Redis,RedisSession,SessionStateProvider",986,False,1.2.1
Brian Drelling,2016-06-24T02:12:55.887Z,543,665,For Dossier projects.,Dossier,False,2016-10-23T22:34:21.8-07:00,False,False,,,6400,False,0.1.6
feiin,2016-06-23T09:40:00.303Z,665,666,NRedisSessionProvider is a class library for persisting ASP.NET/MVC Session data to Redis.,NRedisSessionProvider,False,2016-06-24T06:39:55.19+00:00,False,False,,"Redis,RedisSession,SessionStateProvider",986,False,1.0.0
Brian Drelling,2016-06-24T02:12:55.887Z,543,665,For Dossier projects.,Dossier,False,2016-10-23T22:34:21.8-07:00,False,False,,,6400,False,0.1.6
feiin,2016-06-23T15:27:44.007Z,665,666,NRedisSessionProvider is a class library for persisting ASP.NET/MVC Session data to Redis.,NRedisSessionProvider,False,2016-06-24T06:39:55.19+00:00,False,False,,"Redis,RedisSession,SessionStateProvider",986,False,1.1.0
Roger,2016-06-24T02:11:59.92Z,332,665,"For Our Green,Brown,Black,Red-with Test, make your mvc web jump here and there through appending some code to your _Layout.cshtml, Index.cshtml, Contact.cshtml, About.cshtml.
It also help install the 3 log test nuget packages and modify your home controllers to invoke the log dll.
Remember, it's not fit on a red without AI test.
it's for Dogfood.
Add endpoint and performance counter for Dogfood(＾◇＾)",JumpCodeDF,True,2017-05-23T01:08:04.96-07:00,True,False,"(・ω・)ノ　让你的测试更简单。
(=ﾟωﾟ)ﾉ　Make your test easy.
(*^^)v　テストを簡単になる。",,1434,False,1.1.0-beta
"bniemyjski,ejsmith",2016-06-24T02:05:53.253Z,141,665,Pluggable foundation blocks for building distributed apps.,Foundatio.Redis,True,2017-11-30T14:52:07.817+00:00,True,False,,"Queue,Messaging,Message,Bus,Locking,Lock,Distributed,File,Storage,Blob,Jobs,Metrics,Stats,Azure,Redis,StatsD,Amazon,AWS,S3,broker,Logging,Log,pcl,NETSTANDARD,Core",77724,True,4.2.1031-pre
"bniemyjski,ejsmith",2016-06-24T02:05:45.273Z,141,665,Pluggable foundation blocks for building distributed apps.,Foundatio.MetricsNET,True,2017-11-30T14:31:53.463+00:00,True,False,,"Queue,Messaging,Message,Bus,Locking,Lock,Distributed,File,Storage,Blob,Jobs,Metrics,Stats,Azure,Redis,StatsD,Amazon,AWS,S3,broker,Logging,Log,pcl,NETSTANDARD,Core",43713,True,4.2.1031-pre
