authors,created,days_abandoned,days_alive,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
Gregory Young,2011-09-07T20:00:11.163Z,43209,2417,A RabbitMQ adapter for the PVC library,pvc-rabbmitmq,False,1899-12-31T16:00:00-08:00,False,False,A RabbitMQ adapter for the PVC library,"pvc,pipes,rabbitmq",-1,False,0.0.2
Josh Close,2011-09-10T03:09:50.667Z,36,2414,"A library for reading and writing CSV files. Extremely fast, flexible, and easy to use. Supports reading and writing of custom class objects.",CsvHelper,False,2018-03-15T17:26:29.977+00:00,True,False,,"csv,comma,separated,value,delimited",4564386,False,1.0.0
Ninefold,2011-09-12T00:41:18.42Z,2319,2412,A .NET API for the Ninefold compute and storage platforms.,Ninefold,False,2011-12-14T04:41:26.983-08:00,True,False,,"Cloud,Ninefold,Storage,Compute",9376,False,1.0.0.48
Onpoint On Demand,2011-09-15T14:39:54.15Z,2377,2409,"Generic support for IOC/DI, logging, data etc.
    This package is set up with no default logging and container allowing you greater control over the packages.
	  See optional packages for logging and container support.",Onpoint.Infrastructure-Core,False,2011-10-17T05:01:09.817-07:00,True,False,Onpoint Infrastructure Core for .NET Projects (Debug),onpoint,4978,False,0.4.2.36
"Jeremy D. Miller,Dru Sellers,et al.",2011-09-14T21:43:28.427Z,2223,2410,Tools for deploying applications built on top of the Bottles framework,Bottles.Deployment,False,2012-03-19T12:52:01.773-07:00,True,False,,"packaging,areas,slices",35894,False,0.9.1.114
"Jake Ginnivan,Brendan Kowitz",2011-09-10T07:59:55.31Z,2395,2414,a collection of utility classes which save you time and help you write testable wp7 applications,WindowsPhoneEssentials,False,2011-09-29T01:08:53.177-07:00,True,False,,"windows,phone,7,wp7",6588,False,0.6.0.76
Soul_Master,2011-09-14T11:05:19.057Z,43209,2410,"This is a Main part of Higgs RIA Framework for ASP.NET MVC 3. This framework mainly focuses on fluent & strongly-typed based coding. It is not totally brand-new framework but it works on the top existing great 3rd-libraries like ASP.NET MVC 3, Fluent Validation 2.0, and Microsoft Ajax Minifier 4.0 to make creating RIA application much easier.",Higgs.MVC,False,1899-12-31T16:00:00-08:00,False,False,,"Framework,RIA,AJAX,Web-2.0,UI",-1,False,1.0.113
"Google,Inc.",2011-09-07T16:06:54.857Z,1760,2417,Google Data API Documents Library,Google.GData.Documents,False,2013-06-25T12:55:06.037-07:00,True,False,Google Data API Documents Library,,20246,False,1.9.0
George Tsiokos,2011-09-16T00:07:02.04Z,43209,2408,"CorLib is a class-library containing many useful types & extension methods missing from the .NET Framework, including AsyncResult & EventLoopSchedulerSlim!",CorLib,False,1899-12-31T16:00:00-08:00,False,False,Microsoft Reciprocal License (Ms-RL),,3969,False,0.0.0.9
Tatham Oddie,2011-09-08T01:27:24.877Z,9,2416,"This edge release is just whatever comes straight off our CI server. Neo4jClient is a .NET client for the neo4j REST API. neo4j is an open sourced, Java based transactional graph database that stores data structured in graphs rather than in tables.",Neo4jClient,False,2018-04-11T11:12:31.637+00:00,True,False,,"neo4j,REST",244832,False,0.0.1.135
Maarten Balliauw,2011-09-09T13:49:00.7Z,2115,2415,An MVC3 IDependencyResolver wrapper for the Managed Extensibility Framework (MEF).,MefContrib.MVC3,False,2012-07-05T08:02:14.733-07:00,True,False,An MVC3 IDependencyResolver wrapper for the Managed Extensibility Framework (MEF).,"mef,ioc,di,dependency,injection,mvc,composition",13440,False,1.1.0.5
Thierry THOUA,2011-09-06T16:13:26.17Z,2418,2418,Generate a meeting request,MeetingRequest,False,2011-09-06T09:15:34.753-07:00,True,False,,"ics,calendar,outlook,icalendar",12148,False,0.0.0.2
"David Fowler,Damian Edwards",2011-09-09T03:15:00.033Z,43209,2415,Javascript library for SignalR,SignalR.Js,False,1899-12-31T16:00:00-08:00,False,False,,,-1,False,0.3.2
Andrew Davey,2011-09-11T12:12:54.743Z,1438,2413,"Core library for Cassette. Cassette automatically builds JavaScript, CSS and HTML template modules based on the dependencies between files. CoffeeScript and LESS are also supported.",Cassette,False,2014-05-13T00:41:58.637-07:00,True,False,,"web,javascript,coffeescript,css,html,templates,asp.net",224446,False,0.7.0
Amir Rajan,2011-09-13T01:52:50.257Z,1591,2411,"Dynamic MVC Hotness. Simply put...oak is a clone of Ruby on Rails.  The nuget package 'oak' is the stable release, this one is the latest release fresh off the presses.",oak-edge,False,2013-12-11T09:38:17.657-08:00,True,False,,"dynamic,mvc,migrations,rails,aspnetmvc",50405,False,0.1.4
Tatham Oddie,2011-09-09T03:18:29.637Z,9,2415,"A .NET client for the neo4j REST API. neo4j is an open sourced, Java based transactional graph database. It's pretty awesome.",Neo4jClient,False,2018-04-11T11:12:31.637+00:00,True,False,,"neo4j,REST,nosql",244832,False,0.0.1.139
"James Newkirk,Brad Wilson",2011-09-13T15:13:52.31Z,175,2411,"xUnit.net is a developer testing framework, built to support Test Driven Development, with a design goal of extreme simplicity and alignment with framework features.",xunit,False,2017-10-27T05:56:35.983+00:00,True,False,,,14364800,True,1.8.0.1549
