authors,created,days_abandoned,days_alive,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
Chillisoft,2014-07-24T04:02:35.187Z,365,1366,Habanero.Testability,Habanero.Testability,True,2017-04-19T21:02:28.027-07:00,True,False,,,160014,False,3.9.272-prerelease
"Paralect,Source Code Partners",2014-07-24T08:52:09.23Z,1,1366,A library for interfacing with the JobManager API and messaging system.,JobManager.SDK,False,2018-04-19T21:07:42.467+00:00,True,False,,,20198,False,1.0.5.39
Nexul Software LLC,2014-07-24T22:51:24.303Z,769,1366,An Azure storage provider implementation for Candor.Security base providers.  This code is open source.,Candor.Security.AzureStorageProvider,False,2016-03-12T09:01:51.97-08:00,True,False,,"Candor,WindowsAzure,Azure,Security,UserProvider",3200,False,2.3.1
Nexul Software LLC,2014-07-24T22:54:47.987Z,933,1366,A Common.Logging factory adapter targeting Azure Table Storage.,Candor.WindowsAzure.Logging.Common,False,2015-09-29T22:37:20.937-07:00,True,False,,"Candor,WindowsAzure,Azure",2450,False,1.0.4
Hibernating Rhinos,2014-07-24T13:55:35.873Z,57,1366,RavenDB embedded database,RavenDB.Bundles.IndexReplication,False,2018-02-22T21:29:30.903+00:00,True,False,,"nosql,ravendb,raven,document,database,bundles",116112,True,2.5.2908
Cameron VanHouzen,2014-07-24T16:09:25.62Z,1331,1366,A utility library containing various diagnostic functions for process cpu and memory usage as well as file backup.,Checkered,False,2014-08-28T11:21:35.803-07:00,True,False,,,1680,False,0.1.0.1
Ninny,2014-07-24T01:25:08.863Z,668,1366,Common Library for all front-site and services-site using.,MMQ.CommonLibrary,False,2016-06-20T19:20:08.323-07:00,True,False,,,102575,False,0.0.83
"Sergey Shandar,Boost",2014-07-23T19:39:09.147Z,1,1367,boost_prg_exec_monitor-vc110,boost_prg_exec_monitor-vc110,True,2018-04-19T00:35:45.377+00:00,True,False,,,7306,False,1.56.0-b1
jhfrench/bootstrap-tree,2014-07-24T03:58:46.59Z,1366,1366,JavaScript and LESS/CSS for creating Bootstrap-themed trees (to display hierarchical data).,bootstrap.tree,False,2014-07-23T20:58:46.59-07:00,True,False,,"bootstrap,tree",10439,False,1.0.2
Jason Jarrett,2014-07-24T13:01:55.583Z,670,1366,TypeScript Definitions (d.ts) for globalize. Generated based off the DefinitelyTyped repository [git commit: 57a52370954ceaec9ddd1ac670bc3c0cb91e6147]. http://github.com/DefinitelyTyped,globalize.TypeScript.DefinitelyTyped,False,2016-06-18T21:04:44.21-07:00,True,False,,"TypeScript,JavaScript",32983,False,0.1.1
Ninny,2014-07-24T07:24:58.683Z,619,1366,For Token checking,MMQ.TokenLibrary,False,2016-08-09T01:01:11.96-07:00,True,False,,,6459,False,0.0.2
Ibrahim Sha'ath,2014-07-24T23:16:42.477Z,43209,1366,"Detect the musical key chord of your audio songs with this fantastic library ! High accuracy on par with the top commercial libraries in the industry.

      Author: Ibrahim Sha'ath (https://github.com/ibsh)

      Packager: Aybe (https://github.com/aybe)",LibKeyFinderDotNet,False,1900-01-01T00:00:00+00:00,False,False,Musical key detection for digital audio,"music,audio,key,chord,detection",-1,False,1.0.5319.471
Hibernating Rhinos,2014-07-24T13:59:40.7Z,43209,1366,RavenDB 'Unique Constraints' bundle client. Allow the user to implement unique constraints in the objects (useful for properties like email or social security number).,RavenDB.Client.UniqueConstraints,False,1900-01-01T00:00:00+00:00,False,False,,"nosql,ravendb,raven,document,database,client,bundles",242613,True,2.5.2908
eXpandFramework,2014-07-23T19:13:50.787Z,11,1367,Security Module / eXpandFramework. To debug in VS enable Source Server support under Tools/Options/Debugging.,eXpandSecurity,False,2018-04-09T16:21:17.33+00:00,True,False,Security Module / eXpandFramework,"DevExpress,eXpand,XAF,eXpressApp",40956,False,14.1.5.2
Microsoft,2014-07-23T23:54:24.64Z,43209,1367,"This client library enables client applications using Windows Azure Mobile Services to enable offline workflows using a backing SQLite Database. For more information, check out https://www.windowsazure.com/mobile.",WindowsAzure.MobileServices.SQLiteStore,True,1900-01-01T00:00:00+00:00,False,False,Windows Azure Mobile Services SDK.,"microsoft,windows,azure,mobile,services,windowsazureofficial",55736,False,1.0.0-alpha4
"Sergey Shandar,Boost",2014-07-23T19:55:23.58Z,1,1367,boost_timer-vc110,boost_timer-vc110,True,2018-04-19T01:14:33.157+00:00,True,False,,,7354,False,1.56.0-b1
Philip Laureano,2014-07-24T20:23:30.823Z,1360,1366,A C# extension library that allows users to compose and curry Func<> and Action<> delegate instances at runtime.,Functify,False,2014-07-30T06:31:44.547-07:00,True,False,,"csharp,functional,lambda,delegates,func,action",1584,False,1.0.5319.13261
Gordon Tisher,2014-07-24T19:01:17.967Z,109,1366,A programming language and application for generating pattern matchers on arbitrary streams of objects. It is an implementation of Alessandro Warth's OMeta system for C#.,IronMeta,False,2018-01-01T22:19:51.987+00:00,True,False,Parser generator for Parsing Expression Grammars.,,4976,False,3.6.5318.19806
"Igor Goldobin,Brendan Richards",2014-07-24T06:05:31.823Z,1250,1366,T4 templates for generating repository interfaces based on domain model.,SSW.Data.RepositoryInterfaces.Generator,False,2014-11-17T05:32:00.343-08:00,True,False,,EF,13620,False,1.0.6.28891
Pedro Lamas,2014-07-24T10:13:18.053Z,319,1366,"Cimbalino Toolkit is a set of useful and powerful items that will help you build your Windows applications. This is the PCL portion of the toolkit, which is also compatible with Background Agents.",Cimbalino.Toolkit.Core,False,2017-06-05T07:28:48.773-07:00,True,False,,"Cimbalino,Windows,Phone,Toolkit,PedroLamas,WP8,MVVM,WPDev,WP8Dev,WinDev,Universal,Silverlight,WinRT,Core,Background,Agent",27081,True,1.0.0
Aybe,2014-07-24T23:49:54.257Z,43209,1366,"Detect the musical key chord of your audio songs, this package provides a simple function that takes a file name and returns the detected key chord.",LibKeyFinderDotNet.BASS,False,1900-01-01T00:00:00+00:00,False,False,Musical key chord detection for digital audio (BASS version),"music,audio,key,chord,detection",-1,False,1.0.5319.1485
Jason Jarrett,2014-07-24T09:01:04.393Z,492,1366,TypeScript Definitions (d.ts) for bucks. Generated based off the DefinitelyTyped repository [git commit: 08cef16e268f21f5710b460e402cb80777c2c4d5]. http://github.com/DefinitelyTyped,bucks.TypeScript.DefinitelyTyped,False,2016-12-13T22:36:58.733-08:00,True,False,,"TypeScript,JavaScript",9925,False,0.0.1
